PMID,CONSORT_item,is_reported
25075,3a,N
25075,3b,N
25075,4a,N
25075,4b,N
25075,5,Y
25075,6a,N
25075,6b,N
25075,7a,N
25075,7b,N
25075,8a,N
25075,8b,N
25075,9,N
25075,10,N
25075,11a,N
25075,11b,N
25075,12a,N
25075,12b,N
2500040,3a,N
2500040,3b,N
2500040,4a,Y
2500040,4b,N
2500040,5,Y
2500040,6a,Y
2500040,6b,N
2500040,7a,N
2500040,7b,N
2500040,8a,N
2500040,8b,N
2500040,9,N
2500040,10,N
2500040,11a,N
2500040,11b,N
2500040,12a,Y
2500040,12b,N
2500137,3a,N
2500137,3b,N
2500137,4a,Y
2500137,4b,N
2500137,5,Y
2500137,6a,Y
2500137,6b,N
2500137,7a,N
2500137,7b,N
2500137,8a,N
2500137,8b,N
2500137,9,N
2500137,10,N
2500137,11a,Y
2500137,11b,N
2500137,12a,Y
2500137,12b,N
2500401,3a,N
2500401,3b,N
2500401,4a,Y
2500401,4b,N
2500401,5,Y
2500401,6a,Y
2500401,6b,N
2500401,7a,N
2500401,7b,N
2500401,8a,N
2500401,8b,N
2500401,9,N
2500401,10,N
2500401,11a,N
2500401,11b,N
2500401,12a,Y
2500401,12b,Y
2500472,3a,Y
2500472,3b,N
2500472,4a,Y
2500472,4b,Y
2500472,5,Y
2500472,6a,Y
2500472,6b,N
2500472,7a,N
2500472,7b,N
2500472,8a,N
2500472,8b,Y
2500472,9,N
2500472,10,N
2500472,11a,N
2500472,11b,N
2500472,12a,Y
2500472,12b,N
2501243,3a,N
2501243,3b,N
2501243,4a,Y
2501243,4b,N
2501243,5,Y
2501243,6a,Y
2501243,6b,N
2501243,7a,N
2501243,7b,N
2501243,8a,Y
2501243,8b,Y
2501243,9,N
2501243,10,N
2501243,11a,N
2501243,11b,N
2501243,12a,Y
2501243,12b,N
2502567,3a,N
2502567,3b,N
2502567,4a,Y
2502567,4b,N
2502567,5,Y
2502567,6a,Y
2502567,6b,N
2502567,7a,N
2502567,7b,N
2502567,8a,N
2502567,8b,N
2502567,9,N
2502567,10,N
2502567,11a,N
2502567,11b,N
2502567,12a,N
2502567,12b,N
2502937,3a,N
2502937,3b,N
2502937,4a,Y
2502937,4b,N
2502937,5,Y
2502937,6a,Y
2502937,6b,N
2502937,7a,N
2502937,7b,N
2502937,8a,N
2502937,8b,N
2502937,9,N
2502937,10,N
2502937,11a,Y
2502937,11b,N
2502937,12a,Y
2502937,12b,N
2503017,3a,Y
2503017,3b,N
2503017,4a,Y
2503017,4b,N
2503017,5,Y
2503017,6a,Y
2503017,6b,N
2503017,7a,N
2503017,7b,Y
2503017,8a,N
2503017,8b,N
2503017,9,N
2503017,10,Y
2503017,11a,Y
2503017,11b,N
2503017,12a,N
2503017,12b,N
2503295,3a,Y
2503295,3b,N
2503295,4a,Y
2503295,4b,Y
2503295,5,N
2503295,6a,Y
2503295,6b,N
2503295,7a,Y
2503295,7b,N
2503295,8a,N
2503295,8b,N
2503295,9,N
2503295,10,N
2503295,11a,N
2503295,11b,N
2503295,12a,Y
2503295,12b,N
2503346,3a,N
2503346,3b,N
2503346,4a,N
2503346,4b,N
2503346,5,Y
2503346,6a,Y
2503346,6b,N
2503346,7a,N
2503346,7b,N
2503346,8a,N
2503346,8b,N
2503346,9,N
2503346,10,N
2503346,11a,N
2503346,11b,N
2503346,12a,N
2503346,12b,N
2503570,3a,N
2503570,3b,N
2503570,4a,Y
2503570,4b,N
2503570,5,Y
2503570,6a,Y
2503570,6b,N
2503570,7a,N
2503570,7b,N
2503570,8a,N
2503570,8b,N
2503570,9,N
2503570,10,N
2503570,11a,N
