PMID,CONSORT_item,is_reported
1600045,3a,N
1600045,3b,N
1600045,4a,N
1600045,4b,N
1600045,5,N
1600045,6a,Y
1600045,6b,N
1600045,7a,N
1600045,7b,N
1600045,8a,N
1600045,8b,N
1600045,9,N
1600045,10,N
1600045,11a,N
1600045,11b,N
1600045,12a,N
1600045,12b,N
1600772,3a,N
1600772,3b,N
1600772,4a,Y
1600772,4b,N
1600772,5,Y
1600772,6a,Y
1600772,6b,N
1600772,7a,N
1600772,7b,N
1600772,8a,N
1600772,8b,N
1600772,9,N
1600772,10,N
1600772,11a,Y
1600772,11b,N
1600772,12a,Y
1600772,12b,N
1600777,3a,N
1600777,3b,N
1600777,4a,Y
1600777,4b,N
1600777,5,Y
1600777,6a,Y
1600777,6b,N
1600777,7a,Y
1600777,7b,N
1600777,8a,N
1600777,8b,N
1600777,9,N
1600777,10,N
1600777,11a,Y
1600777,11b,N
1600777,12a,Y
1600777,12b,N
1600852,3a,N
1600852,3b,N
1600852,4a,Y
1600852,4b,N
1600852,5,Y
1600852,6a,Y
1600852,6b,N
1600852,7a,N
1600852,7b,N
1600852,8a,N
1600852,8b,N
1600852,9,N
1600852,10,N
1600852,11a,N
1600852,11b,N
1600852,12a,Y
1600852,12b,N
1605593,3a,N
1605593,3b,N
1605593,4a,Y
1605593,4b,Y
1605593,5,Y
1605593,6a,Y
1605593,6b,N
1605593,7a,N
1605593,7b,N
1605593,8a,N
1605593,8b,N
1605593,9,N
1605593,10,Y
1605593,11a,N
1605593,11b,N
1605593,12a,Y
1605593,12b,N
1605596,3a,Y
1605596,3b,N
1605596,4a,N
1605596,4b,N
1605596,5,Y
1605596,6a,Y
1605596,6b,N
1605596,7a,N
1605596,7b,N
1605596,8a,N
1605596,8b,N
1605596,9,N
1605596,10,N
1605596,11a,N
1605596,11b,N
1605596,12a,Y
1605596,12b,N
1607520,3a,N
1607520,3b,N
1607520,4a,Y
1607520,4b,Y
1607520,5,Y
1607520,6a,Y
1607520,6b,N
1607520,7a,Y
1607520,7b,Y
1607520,8a,Y
1607520,8b,N
1607520,9,N
1607520,10,N
1607520,11a,N
1607520,11b,N
1607520,12a,Y
1607520,12b,N
1607550,3a,Y
1607550,3b,N
1607550,4a,Y
1607550,4b,Y
1607550,5,Y
1607550,6a,Y
1607550,6b,N
1607550,7a,N
1607550,7b,N
1607550,8a,N
1607550,8b,N
1607550,9,N
1607550,10,N
1607550,11a,Y
1607550,11b,Y
1607550,12a,Y
1607550,12b,N
1607678,3a,N
1607678,3b,N
1607678,4a,N
1607678,4b,N
1607678,5,Y
1607678,6a,Y
1607678,6b,N
1607678,7a,Y
1607678,7b,N
1607678,8a,N
1607678,8b,N
1607678,9,N
1607678,10,N
1607678,11a,N
1607678,11b,N
1607678,12a,Y
1607678,12b,N
1607913,3a,N
1607913,3b,N
1607913,4a,Y
1607913,4b,N
1607913,5,Y
1607913,6a,Y
1607913,6b,N
1607913,7a,N
1607913,7b,N
1607913,8a,N
1607913,8b,Y
1607913,9,N
1607913,10,N
1607913,11a,N
1607913,11b,N
1607913,12a,Y
1607913,12b,Y
1607916,3a,N
1607916,3b,N
1607916,4a,Y
1607916,4b,N
1607916,5,Y
1607916,6a,Y
1607916,6b,N
1607916,7a,N
1607916,7b,N
1607916,8a,N
1607916,8b,Y
1607916,9,N
1607916,10,N
1607916,11a,N
1607916,11b,N
1607916,12a,Y
1607916,12b,N
1608733,3a,N
1608733,3b,N
1608733,4a,N
1608733,4b,N
1608733,5,Y
1608733,6a,Y
1608733,6b,N
1608733,7a,N
1608733,7b,N
1608733,8a,N
1608733,8b,N
1608733,9,N
1608733,10,N
1608733,11a,N
1608733,11b,N
1608733,12a,N
1608733,12b,N
1609380,3a,N
1609380,3b,N
1609380,4a,Y
1609380,4b,N
1609380,5,Y
1609380,6a,Y
1609380,6b,N
1609380,7a,N
1609380,7b,N
1609380,8a,N
1609380,8b,N
1609380,9,N
1609380,10,N
1609380,11a,Y
1609380,11b,N
1609380,12a,Y
1609380,12b,N
1609548,3a,N
1609548,3b,N
