PMID,CONSORT_item,is_reported
23135,3a,Y
23135,3b,N
23135,4a,N
23135,4b,N
23135,5,Y
23135,6a,Y
23135,6b,N
23135,7a,N
23135,7b,N
23135,8a,N
23135,8b,N
23135,9,N
23135,10,N
23135,11a,N
23135,11b,N
23135,12a,N
23135,12b,N
232314,3a,N
232314,3b,N
232314,4a,N
232314,4b,N
232314,5,Y
232314,6a,Y
232314,6b,N
232314,7a,N
232314,7b,N
232314,8a,N
232314,8b,N
232314,9,N
232314,10,N
232314,11a,N
232314,11b,N
232314,12a,N
232314,12b,N
234488,3a,N
234488,3b,N
234488,4a,Y
234488,4b,N
234488,5,N
234488,6a,N
234488,6b,N
234488,7a,N
234488,7b,N
234488,8a,N
234488,8b,N
234488,9,N
234488,10,N
234488,11a,N
234488,11b,N
234488,12a,N
234488,12b,N
2300680,3a,Y
2300680,3b,N
2300680,4a,N
2300680,4b,N
2300680,5,Y
2300680,6a,Y
2300680,6b,N
2300680,7a,N
2300680,7b,N
2300680,8a,N
2300680,8b,N
2300680,9,N
2300680,10,N
2300680,11a,N
2300680,11b,N
2300680,12a,Y
2300680,12b,N
2300922,3a,N
2300922,3b,N
2300922,4a,N
2300922,4b,N
2300922,5,Y
2300922,6a,Y
2300922,6b,N
2300922,7a,N
2300922,7b,N
2300922,8a,N
2300922,8b,N
2300922,9,N
2300922,10,N
2300922,11a,N
2300922,11b,N
2300922,12a,Y
2300922,12b,N
2301243,3a,N
2301243,3b,N
2301243,4a,Y
2301243,4b,N
2301243,5,Y
2301243,6a,Y
2301243,6b,N
2301243,7a,N
2301243,7b,N
2301243,8a,N
2301243,8b,N
2301243,9,N
2301243,10,N
2301243,11a,N
2301243,11b,N
2301243,12a,Y
2301243,12b,N
2301259,3a,N
2301259,3b,N
2301259,4a,N
2301259,4b,Y
2301259,5,N
2301259,6a,Y
2301259,6b,N
2301259,7a,N
2301259,7b,N
2301259,8a,N
2301259,8b,N
2301259,9,N
2301259,10,N
2301259,11a,Y
2301259,11b,N
2301259,12a,Y
2301259,12b,N
2301717,3a,N
2301717,3b,N
2301717,4a,Y
2301717,4b,N
2301717,5,Y
2301717,6a,Y
2301717,6b,N
2301717,7a,N
2301717,7b,N
2301717,8a,N
2301717,8b,N
2301717,9,Y
2301717,10,Y
2301717,11a,N
2301717,11b,N
2301717,12a,Y
2301717,12b,N
2301751,3a,N
2301751,3b,N
2301751,4a,Y
2301751,4b,N
2301751,5,Y
2301751,6a,Y
2301751,6b,N
2301751,7a,N
2301751,7b,N
2301751,8a,N
2301751,8b,N
2301751,9,N
2301751,10,N
2301751,11a,Y
2301751,11b,N
2301751,12a,N
2301751,12b,N
2301851,3a,N
2301851,3b,N
2301851,4a,N
2301851,4b,N
2301851,5,Y
2301851,6a,Y
2301851,6b,N
2301851,7a,N
2301851,7b,N
2301851,8a,N
2301851,8b,N
2301851,9,N
2301851,10,N
2301851,11a,N
2301851,11b,N
2301851,12a,Y
2301851,12b,N
2301856,3a,N
2301856,3b,N
2301856,4a,N
2301856,4b,N
2301856,5,Y
2301856,6a,Y
2301856,6b,N
2301856,7a,N
2301856,7b,N
2301856,8a,N
2301856,8b,N
2301856,9,N
2301856,10,N
2301856,11a,Y
2301856,11b,N
2301856,12a,Y
2301856,12b,N
2306420,3a,Y
2306420,3b,N
2306420,4a,N
2306420,4b,N
2306420,5,Y
2306420,6a,Y
2306420,6b,N
2306420,7a,N
2306420,7b,N
2306420,8a,N
2306420,8b,N
2306420,9,N
2306420,10,N
2306420,11a,N
2306420,11b,N
2306420,12a,Y
2306420,12b,N
2306966,3a,N
2306966,3b,N
2306966,4a,N
2306966,4b,N
2306966,5,Y
2306966,6a,Y
2306966,6b,N
2306966,7a,N
2306966,7b,N
2306966,8a,N
2306966,8b,N
2306966,9,N
2306966,10,N
2306966,11a,N
2306966,11b,N
2306966,12a,Y
2306966,12b,N
2306971,3a,N
2306971,3b,N
2306971,4a,Y
2306971,4b,N
2306971,5,Y
2306971,6a,Y
2306971,6b,N
2306971,7a,Y
2306971,7b,N
2306971,8a,N
2306971,8b,N
2306971,9,N
2306971,10,N
2306971,11a,N
2306971,11b,N
2306971,12a,Y
2306971,12b,N
2308758,3a,N
2308758,3b,N
2308758,4a,Y
2308758,4b,N
2308758,5,Y
2308758,6a,Y
2308758,6b,N
2308758,7a,N
2308758,7b,N
2308758,8a,N
2308758,8b,N
2308758,9,N
2308758,10,N
2308758,11a,N
2308758,11b,N
2308758,12a,Y
2308758,12b,N
2310448,3a,N
2310448,3b,N
2310448,4a,N
2310448,4b,N
2310448,5,Y
2310448,6a,Y
2310448,6b,N
2310448,7a,N
2310448,7b,N
2310448,8a,N
2310448,8b,N
2310448,9,N
2310448,10,N
2310448,11a,Y
2310448,11b,N
2310448,12a,Y
2310448,12b,N
2310652,3a,Y
2310652,3b,N
2310652,4a,N
2310652,4b,N
2310652,5,Y
2310652,6a,Y
2310652,6b,N
2310652,7a,N
2310652,7b,N
2310652,8a,N
2310652,8b,N
2310652,9,N
2310652,10,N
2310652,11a,N
2310652,11b,N
2310652,12a,N
2310652,12b,N
2310655,3a,Y
2310655,3b,N
2310655,4a,N
2310655,4b,N
2310655,5,Y
2310655,6a,Y
2310655,6b,N
2310655,7a,N
2310655,7b,N
2310655,8a,N
2310655,8b,N
2310655,9,Y
2310655,10,N
2310655,11a,N
2310655,11b,Y
2310655,12a,Y
2310655,12b,N
2310658,3a,N
2310658,3b,N
2310658,4a,N
2310658,4b,N
2310658,5,Y
2310658,6a,Y
2310658,6b,N
2310658,7a,N
2310658,7b,N
2310658,8a,N
2310658,8b,N
2310658,9,N
2310658,10,N
2310658,11a,N
2310658,11b,N
2310658,12a,N
2310658,12b,N
2310659,3a,N
2310659,3b,N
2310659,4a,Y
2310659,4b,N
2310659,5,Y
2310659,6a,Y
2310659,6b,N
2310659,7a,N
2310659,7b,N
2310659,8a,N
2310659,8b,N
2310659,9,N
2310659,10,N
2310659,11a,N
2310659,11b,N
2310659,12a,Y
2310659,12b,N
2311145,3a,Y
2311145,3b,N
2311145,4a,N
2311145,4b,N
2311145,5,Y
2311145,6a,Y
2311145,6b,N
2311145,7a,N
2311145,7b,N
2311145,8a,N
2311145,8b,N
2311145,9,N
2311145,10,N
2311145,11a,N
2311145,11b,N
2311145,12a,Y
2311145,12b,N
2311147,3a,N
2311147,3b,N
2311147,4a,Y
2311147,4b,N
2311147,5,Y
2311147,6a,Y
2311147,6b,N
2311147,7a,N
2311147,7b,N
2311147,8a,N
2311147,8b,N
2311147,9,N
2311147,10,N
2311147,11a,Y
2311147,11b,N
2311147,12a,Y
2311147,12b,N
2311806,3a,N
2311806,3b,N
2311806,4a,Y
2311806,4b,N
2311806,5,Y
2311806,6a,Y
2311806,6b,N
2311806,7a,N
2311806,7b,N
2311806,8a,N
2311806,8b,N
2311806,9,N
2311806,10,N
2311806,11a,N
2311806,11b,N
2311806,12a,Y
2311806,12b,N
2311809,3a,N
2311809,3b,N
2311809,4a,N
2311809,4b,N
2311809,5,Y
2311809,6a,Y
2311809,6b,N
2311809,7a,Y
2311809,7b,N
2311809,8a,N
2311809,8b,N
2311809,9,N
2311809,10,N
2311809,11a,N
2311809,11b,N
2311809,12a,Y
2311809,12b,N
2312234,3a,Y
2312234,3b,N
2312234,4a,N
2312234,4b,N
2312234,5,N
2312234,6a,Y
2312234,6b,N
2312234,7a,N
2312234,7b,N
2312234,8a,Y
2312234,8b,N
2312234,9,N
2312234,10,N
2312234,11a,N
2312234,11b,N
2312234,12a,N
2312234,12b,N
2316281,3a,Y
2316281,3b,N
2316281,4a,N
2316281,4b,N
2316281,5,Y
2316281,6a,Y
2316281,6b,N
2316281,7a,N
2316281,7b,N
2316281,8a,N
2316281,8b,N
2316281,9,N
2316281,10,N
2316281,11a,N
2316281,11b,N
2316281,12a,Y
2316281,12b,N
2316409,3a,N
2316409,3b,N
2316409,4a,N
2316409,4b,Y
2316409,5,N
2316409,6a,Y
2316409,6b,N
2316409,7a,N
2316409,7b,N
2316409,8a,N
2316409,8b,N
2316409,9,N
2316409,10,N
2316409,11a,N
2316409,11b,N
2316409,12a,N
2316409,12b,N
2316411,3a,N
2316411,3b,N
2316411,4a,N
2316411,4b,Y
2316411,5,Y
2316411,6a,Y
2316411,6b,N
2316411,7a,N
2316411,7b,N
2316411,8a,N
2316411,8b,N
2316411,9,N
2316411,10,N
2316411,11a,N
2316411,11b,N
2316411,12a,Y
