PMID,CONSORT_item,is_reported
27204,3a,N
27204,3b,N
27204,4a,N
27204,4b,N
27204,5,Y
27204,6a,Y
27204,6b,N
27204,7a,N
27204,7b,N
27204,8a,N
27204,8b,N
27204,9,N
27204,10,N
27204,11a,N
27204,11b,Y
27204,12a,Y
27204,12b,N
27461,3a,N
27461,3b,N
27461,4a,N
27461,4b,N
27461,5,Y
27461,6a,Y
27461,6b,N
27461,7a,N
27461,7b,N
27461,8a,N
27461,8b,N
27461,9,N
27461,10,N
27461,11a,N
27461,11b,N
27461,12a,N
27461,12b,N
277069,3a,N
277069,3b,N
277069,4a,N
277069,4b,N
277069,5,Y
277069,6a,Y
277069,6b,N
277069,7a,N
277069,7b,N
277069,8a,N
277069,8b,N
277069,9,N
277069,10,N
277069,11a,N
277069,11b,N
277069,12a,N
277069,12b,N
279253,3a,N
279253,3b,N
279253,4a,N
279253,4b,N
279253,5,Y
279253,6a,Y
279253,6b,N
279253,7a,N
279253,7b,N
279253,8a,N
279253,8b,N
279253,9,N
279253,10,N
279253,11a,Y
279253,11b,N
279253,12a,N
279253,12b,N
2700179,3a,N
2700179,3b,N
2700179,4a,N
2700179,4b,N
2700179,5,Y
2700179,6a,Y
2700179,6b,N
2700179,7a,N
2700179,7b,N
2700179,8a,N
2700179,8b,N
2700179,9,N
2700179,10,N
2700179,11a,N
2700179,11b,N
2700179,12a,Y
2700179,12b,N
2702802,3a,Y
2702802,3b,N
2702802,4a,Y
2702802,4b,N
2702802,5,Y
2702802,6a,Y
2702802,6b,N
2702802,7a,N
2702802,7b,N
2702802,8a,N
2702802,8b,N
2702802,9,N
2702802,10,N
2702802,11a,N
2702802,11b,N
2702802,12a,Y
2702802,12b,N
2703006,3a,N
2703006,3b,N
2703006,4a,Y
2703006,4b,N
2703006,5,Y
2703006,6a,N
2703006,6b,N
2703006,7a,N
2703006,7b,N
2703006,8a,N
2703006,8b,N
2703006,9,N
2703006,10,N
2703006,11a,N
2703006,11b,N
2703006,12a,N
2703006,12b,N
2703617,3a,N
2703617,3b,N
2703617,4a,N
2703617,4b,N
2703617,5,Y
2703617,6a,Y
2703617,6b,N
2703617,7a,N
2703617,7b,N
2703617,8a,N
2703617,8b,N
2703617,9,N
2703617,10,N
2703617,11a,N
2703617,11b,N
2703617,12a,Y
2703617,12b,N
2705667,3a,N
2705667,3b,N
2705667,4a,Y
2705667,4b,Y
2705667,5,Y
2705667,6a,Y
2705667,6b,N
2705667,7a,N
2705667,7b,N
2705667,8a,N
2705667,8b,N
2705667,9,N
2705667,10,N
2705667,11a,Y
2705667,11b,N
2705667,12a,Y
2705667,12b,N
2706176,3a,N
2706176,3b,N
2706176,4a,Y
2706176,4b,N
2706176,5,Y
2706176,6a,Y
2706176,6b,N
2706176,7a,N
2706176,7b,N
2706176,8a,N
2706176,8b,N
2706176,9,N
2706176,10,N
2706176,11a,N
2706176,11b,N
2706176,12a,Y
2706176,12b,N
2707917,3a,Y
2707917,3b,N
2707917,4a,Y
2707917,4b,Y
2707917,5,N
2707917,6a,N
2707917,6b,N
2707917,7a,N
2707917,7b,N
2707917,8a,N
2707917,8b,N
2707917,9,N
2707917,10,N
2707917,11a,N
2707917,11b,N
2707917,12a,N
2707917,12b,N
2709673,3a,N
2709673,3b,N
2709673,4a,N
2709673,4b,N
2709673,5,Y
2709673,6a,Y
2709673,6b,N
2709673,7a,N
2709673,7b,N
2709673,8a,N
2709673,8b,N
2709673,9,N
2709673,10,N
2709673,11a,N
2709673,11b,N
2709673,12a,Y
2709673,12b,N
2711309,3a,N
2711309,3b,N
2711309,4a,Y
2711309,4b,N
2711309,5,Y
2711309,6a,Y
2711309,6b,N
2711309,7a,N
2711309,7b,N
2711309,8a,Y
2711309,8b,N
2711309,9,N
2711309,10,Y
2711309,11a,Y
2711309,11b,N
2711309,12a,Y
2711309,12b,N
2711992,3a,Y
2711992,3b,N
2711992,4a,Y
2711992,4b,N
2711992,5,Y
2711992,6a,Y
2711992,6b,N
2711992,7a,N
2711992,7b,N
2711992,8a,N
2711992,8b,N
2711992,9,N
2711992,10,N
2711992,11a,N
2711992,11b,Y
2711992,12a,Y
2711992,12b,N
2712434,3a,Y
2712434,3b,N
2712434,4a,Y
2712434,4b,Y
2712434,5,Y
2712434,6a,Y
2712434,6b,N
2712434,7a,N
2712434,7b,N
2712434,8a,N
2712434,8b,N
2712434,9,N
2712434,10,N
2712434,11a,N
2712434,11b,Y
2712434,12a,Y
2712434,12b,Y
2712548,3a,Y
2712548,3b,N
2712548,4a,Y
2712548,4b,N
2712548,5,Y
2712548,6a,Y
2712548,6b,N
2712548,7a,N
2712548,7b,N
2712548,8a,N
2712548,8b,N
2712548,9,N
2712548,10,N
2712548,11a,N
2712548,11b,N
2712548,12a,N
2712548,12b,N
2712549,3a,N
2712549,3b,N
2712549,4a,Y
2712549,4b,Y
2712549,5,Y
2712549,6a,Y
2712549,6b,N
2712549,7a,Y
2712549,7b,N
2712549,8a,Y
2712549,8b,Y
2712549,9,N
2712549,10,N
2712549,11a,N
2712549,11b,Y
2712549,12a,Y
2712549,12b,N
2713211,3a,N
2713211,3b,N
2713211,4a,N
2713211,4b,N
2713211,5,N
2713211,6a,Y
2713211,6b,N
2713211,7a,N
2713211,7b,N
2713211,8a,N
2713211,8b,N
2713211,9,N
2713211,10,N
2713211,11a,N
2713211,11b,N
2713211,12a,Y
2713211,12b,N
2714088,3a,N
2714088,3b,N
2714088,4a,Y
2714088,4b,N
2714088,5,Y
2714088,6a,Y
2714088,6b,N
2714088,7a,N
2714088,7b,N
2714088,8a,N
2714088,8b,N
2714088,9,N
