PMID,CONSORT_item,is_reported
2900084,3a,N
2900084,3b,N
2900084,4a,Y
2900084,4b,N
2900084,5,Y
2900084,6a,Y
2900084,6b,N
2900084,7a,N
2900084,7b,N
2900084,8a,N
2900084,8b,N
2900084,9,N
2900084,10,N
2900084,11a,Y
2900084,11b,N
2900084,12a,Y
2900084,12b,N
2900608,3a,N
2900608,3b,N
2900608,4a,N
2900608,4b,N
2900608,5,Y
2900608,6a,Y
2900608,6b,N
2900608,7a,N
2900608,7b,N
2900608,8a,N
2900608,8b,N
2900608,9,N
2900608,10,N
2900608,11a,Y
2900608,11b,N
2900608,12a,Y
2900608,12b,N
2900919,3a,N
2900919,3b,N
2900919,4a,Y
2900919,4b,Y
2900919,5,Y
2900919,6a,Y
2900919,6b,N
2900919,7a,Y
2900919,7b,N
2900919,8a,Y
2900919,8b,Y
2900919,9,N
2900919,10,Y
2900919,11a,N
2900919,11b,N
2900919,12a,N
2900919,12b,N
2901018,3a,Y
2901018,3b,N
2901018,4a,N
2901018,4b,N
2901018,5,Y
2901018,6a,Y
2901018,6b,N
2901018,7a,N
2901018,7b,N
2901018,8a,N
2901018,8b,N
2901018,9,N
2901018,10,N
2901018,11a,N
2901018,11b,N
2901018,12a,Y
2901018,12b,N
2901566,3a,N
2901566,3b,N
2901566,4a,N
2901566,4b,N
2901566,5,Y
2901566,6a,Y
2901566,6b,N
2901566,7a,N
2901566,7b,N
2901566,8a,N
2901566,8b,N
2901566,9,N
2901566,10,N
2901566,11a,N
2901566,11b,N
2901566,12a,N
2901566,12b,N
2901569,3a,N
2901569,3b,N
2901569,4a,N
2901569,4b,N
2901569,5,N
2901569,6a,N
2901569,6b,N
2901569,7a,N
2901569,7b,N
2901569,8a,N
2901569,8b,N
2901569,9,N
2901569,10,N
2901569,11a,N
2901569,11b,N
2901569,12a,N
2901569,12b,N
2901609,3a,N
2901609,3b,N
2901609,4a,N
2901609,4b,N
2901609,5,N
2901609,6a,Y
2901609,6b,N
2901609,7a,N
2901609,7b,N
2901609,8a,N
2901609,8b,N
2901609,9,N
2901609,10,N
2901609,11a,N
2901609,11b,N
2901609,12a,N
2901609,12b,N
2902114,3a,N
2902114,3b,N
2902114,4a,Y
2902114,4b,N
2902114,5,Y
2902114,6a,Y
2902114,6b,N
2902114,7a,N
2902114,7b,N
2902114,8a,N
2902114,8b,N
2902114,9,N
2902114,10,N
2902114,11a,N
2902114,11b,Y
2902114,12a,Y
2902114,12b,N
2902263,3a,N
2902263,3b,N
2902263,4a,N
2902263,4b,N
2902263,5,N
2902263,6a,N
2902263,6b,N
2902263,7a,N
2902263,7b,N
2902263,8a,N
2902263,8b,N
2902263,9,N
2902263,10,N
2902263,11a,N
2902263,11b,N
2902263,12a,N
2902263,12b,N
2902494,3a,N
2902494,3b,N
2902494,4a,N
2902494,4b,N
2902494,5,N
2902494,6a,Y
2902494,6b,N
2902494,7a,N
2902494,7b,N
2902494,8a,N
2902494,8b,N
2902494,9,N
2902494,10,N
2902494,11a,N
2902494,11b,N
2902494,12a,Y
2902494,12b,N
2902779,3a,Y
2902779,3b,N
2902779,4a,Y
2902779,4b,N
2902779,5,Y
2902779,6a,Y
2902779,6b,N
2902779,7a,N
2902779,7b,N
2902779,8a,N
2902779,8b,N
2902779,9,N
2902779,10,N
2902779,11a,N
2902779,11b,N
2902779,12a,Y
2902779,12b,Y
2903085,3a,N
2903085,3b,N
2903085,4a,Y
2903085,4b,N
2903085,5,Y
2903085,6a,Y
2903085,6b,N
2903085,7a,N
2903085,7b,N
2903085,8a,N
2903085,8b,N
2903085,9,N
2903085,10,Y
2903085,11a,N
2903085,11b,N
2903085,12a,Y
2903085,12b,N
2903105,3a,N
2903105,3b,N
2903105,4a,Y
2903105,4b,N
2903105,5,Y
2903105,6a,Y
2903105,6b,N
2903105,7a,N
2903105,7b,N
2903105,8a,N
2903105,8b,N
2903105,9,N
2903105,10,N
2903105,11a,Y
2903105,11b,N
2903105,12a,Y
2903105,12b,N
2903322,3a,N
2903322,3b,N
2903322,4a,Y
2903322,4b,N
2903322,5,N
2903322,6a,Y
2903322,6b,N
2903322,7a,N
2903322,7b,N
2903322,8a,N
2903322,8b,N
2903322,9,N
2903322,10,N
2903322,11a,N
2903322,11b,N
2903322,12a,N
2903322,12b,N
2903659,3a,N
2903659,3b,N
2903659,4a,Y
2903659,4b,N
2903659,5,Y
2903659,6a,Y
2903659,6b,N
2903659,7a,N
2903659,7b,N
2903659,8a,N
2903659,8b,N
2903659,9,N
2903659,10,N
2903659,11a,N
2903659,11b,N
2903659,12a,Y
2903659,12b,N
2903876,3a,N
2903876,3b,N
2903876,4a,N
2903876,4b,N
2903876,5,Y
2903876,6a,Y
2903876,6b,N
2903876,7a,N
2903876,7b,N
2903876,8a,N
2903876,8b,N
2903876,9,N
2903876,10,N
2903876,11a,N
2903876,11b,Y
2903876,12a,Y
2903876,12b,N
2904183,3a,N
2904183,3b,N
2904183,4a,N
2904183,4b,N
2904183,5,N
2904183,6a,Y
2904183,6b,N
2904183,7a,N
2904183,7b,N
2904183,8a,N
2904183,8b,N
2904183,9,N
2904183,10,N
2904183,11a,N
2904183,11b,N
2904183,12a,Y
2904183,12b,N
2904394,3a,N
2904394,3b,N
2904394,4a,N
2904394,4b,N
2904394,5,Y
2904394,6a,Y
2904394,6b,N
2904394,7a,N
2904394,7b,N
2904394,8a,N
2904394,8b,N
2904394,9,N
2904394,10,N
2904394,11a,N
2904394,11b,N
2904394,12a,Y
2904394,12b,N
2904461,3a,Y
2904461,3b,N
2904461,4a,Y
2904461,4b,Y
2904461,5,Y
2904461,6a,Y
2904461,6b,N
2904461,7a,N
2904461,7b,N
2904461,8a,N
2904461,8b,N
2904461,9,N
2904461,10,N
2904461,11a,N
2904461,11b,N
2904461,12a,N
2904461,12b,N
2904462,3a,N
2904462,3b,N
2904462,4a,Y
2904462,4b,N
