PMID,CONSORT_item,is_reported
151547,3a,Y
151547,3b,N
151547,4a,Y
151547,4b,N
151547,5,Y
151547,6a,Y
151547,6b,N
151547,7a,N
151547,7b,N
151547,8a,Y
151547,8b,Y
151547,9,N
151547,10,N
151547,11a,Y
151547,11b,N
151547,12a,N
151547,12b,N
152180,3a,N
152180,3b,N
152180,4a,N
152180,4b,N
152180,5,Y
152180,6a,Y
152180,6b,N
152180,7a,N
152180,7b,N
152180,8a,N
152180,8b,N
152180,9,N
152180,10,Y
152180,11a,N
152180,11b,Y
152180,12a,N
152180,12b,N
154372,3a,N
154372,3b,N
154372,4a,N
154372,4b,N
154372,5,Y
154372,6a,Y
154372,6b,N
154372,7a,N
154372,7b,N
154372,8a,N
154372,8b,N
154372,9,N
154372,10,N
154372,11a,Y
154372,11b,N
154372,12a,N
154372,12b,N
154747,3a,N
154747,3b,N
154747,4a,N
154747,4b,N
154747,5,Y
154747,6a,Y
154747,6b,N
154747,7a,N
154747,7b,N
154747,8a,N
154747,8b,N
154747,9,N
154747,10,N
154747,11a,N
154747,11b,N
154747,12a,Y
154747,12b,N
1500629,3a,Y
1500629,3b,N
1500629,4a,Y
1500629,4b,N
1500629,5,Y
1500629,6a,Y
1500629,6b,N
1500629,7a,N
1500629,7b,N
1500629,8a,N
1500629,8b,N
1500629,9,N
1500629,10,N
1500629,11a,N
1500629,11b,N
1500629,12a,Y
1500629,12b,N
1500630,3a,N
1500630,3b,N
1500630,4a,N
1500630,4b,N
1500630,5,Y
1500630,6a,Y
1500630,6b,N
1500630,7a,N
1500630,7b,N
1500630,8a,N
1500630,8b,N
1500630,9,N
1500630,10,N
1500630,11a,Y
1500630,11b,Y
1500630,12a,N
1500630,12b,N
1500686,3a,N
1500686,3b,N
1500686,4a,Y
1500686,4b,N
1500686,5,Y
1500686,6a,Y
1500686,6b,N
1500686,7a,N
1500686,7b,N
1500686,8a,N
1500686,8b,N
1500686,9,N
1500686,10,N
1500686,11a,N
1500686,11b,N
1500686,12a,N
1500686,12b,N
1500694,3a,Y
1500694,3b,N
1500694,4a,Y
1500694,4b,Y
1500694,5,Y
1500694,6a,Y
1500694,6b,N
1500694,7a,Y
1500694,7b,N
1500694,8a,Y
1500694,8b,Y
1500694,9,Y
1500694,10,N
1500694,11a,N
1500694,11b,N
1500694,12a,Y
1500694,12b,N
1501418,3a,N
1501418,3b,N
1501418,4a,N
1501418,4b,N
1501418,5,Y
1501418,6a,Y
1501418,6b,N
1501418,7a,N
1501418,7b,N
1501418,8a,N
1501418,8b,N
1501418,9,N
1501418,10,N
1501418,11a,N
1501418,11b,N
1501418,12a,Y
1501418,12b,N
1501967,3a,Y
1501967,3b,N
1501967,4a,N
1501967,4b,Y
1501967,5,Y
1501967,6a,Y
1501967,6b,N
1501967,7a,N
1501967,7b,N
1501967,8a,N
1501967,8b,N
1501967,9,N
1501967,10,N
1501967,11a,N
1501967,11b,N
1501967,12a,N
1501967,12b,N
1502965,3a,Y
1502965,3b,N
1502965,4a,N
1502965,4b,N
1502965,5,N
1502965,6a,Y
1502965,6b,N
1502965,7a,N
1502965,7b,N
1502965,8a,N
1502965,8b,N
1502965,9,N
1502965,10,N
1502965,11a,N
1502965,11b,N
1502965,12a,N
1502965,12b,N
1503435,3a,N
1503435,3b,N
1503435,4a,Y
1503435,4b,N
1503435,5,Y
1503435,6a,Y
1503435,6b,N
1503435,7a,N
1503435,7b,N
1503435,8a,N
1503435,8b,N
1503435,9,N
1503435,10,N
1503435,11a,N
1503435,11b,Y
1503435,12a,N
1503435,12b,N
1503438,3a,N
1503438,3b,N
1503438,4a,N
1503438,4b,N
1503438,5,Y
1503438,6a,Y
1503438,6b,N
1503438,7a,N
1503438,7b,N
