PMID,CONSORT_item,is_reported
137922,3a,N
137922,3b,N
137922,4a,Y
137922,4b,N
137922,5,Y
137922,6a,Y
137922,6b,N
137922,7a,N
137922,7b,N
137922,8a,N
137922,8b,N
137922,9,N
137922,10,N
137922,11a,Y
137922,11b,Y
137922,12a,Y
137922,12b,N
1300186,3a,N
1300186,3b,N
1300186,4a,Y
1300186,4b,N
1300186,5,Y
1300186,6a,Y
1300186,6b,N
1300186,7a,Y
1300186,7b,N
1300186,8a,N
1300186,8b,N
1300186,9,N
1300186,10,N
1300186,11a,Y
1300186,11b,N
1300186,12a,Y
1300186,12b,N
1303630,3a,N
1303630,3b,N
1303630,4a,Y
1303630,4b,N
1303630,5,Y
1303630,6a,Y
1303630,6b,N
1303630,7a,N
1303630,7b,N
1303630,8a,N
1303630,8b,N
1303630,9,N
1303630,10,N
1303630,11a,N
1303630,11b,N
1303630,12a,Y
1303630,12b,N
1306646,3a,N
1306646,3b,N
1306646,4a,Y
1306646,4b,N
1306646,5,Y
1306646,6a,Y
1306646,6b,N
1306646,7a,N
1306646,7b,N
1306646,8a,N
1306646,8b,N
1306646,9,N
1306646,10,N
1306646,11a,N
1306646,11b,N
1306646,12a,Y
1306646,12b,N
1306735,3a,Y
1306735,3b,N
1306735,4a,Y
1306735,4b,N
1306735,5,Y
1306735,6a,Y
1306735,6b,N
1306735,7a,Y
1306735,7b,N
1306735,8a,Y
1306735,8b,Y
1306735,9,N
1306735,10,N
1306735,11a,N
1306735,11b,N
1306735,12a,Y
1306735,12b,N
1310103,3a,N
1310103,3b,N
1310103,4a,Y
1310103,4b,Y
1310103,5,Y
1310103,6a,Y
1310103,6b,N
1310103,7a,Y
1310103,7b,N
1310103,8a,N
1310103,8b,Y
1310103,9,N
1310103,10,N
1310103,11a,N
1310103,11b,N
1310103,12a,Y
1310103,12b,N
1310456,3a,Y
1310456,3b,N
1310456,4a,N
1310456,4b,N
1310456,5,Y
1310456,6a,Y
1310456,6b,N
1310456,7a,N
1310456,7b,N
1310456,8a,N
1310456,8b,N
1310456,9,N
1310456,10,N
1310456,11a,N
1310456,11b,N
1310456,12a,Y
1310456,12b,N
1310566,3a,Y
1310566,3b,N
1310566,4a,Y
1310566,4b,N
1310566,5,Y
1310566,6a,Y
1310566,6b,N
1310566,7a,N
1310566,7b,N
1310566,8a,N
1310566,8b,N
1310566,9,N
1310566,10,N
1310566,11a,Y
1310566,11b,Y
1310566,12a,Y
1310566,12b,N
1311666,3a,Y
1311666,3b,N
1311666,4a,Y
1311666,4b,N
1311666,5,Y
1311666,6a,Y
1311666,6b,N
1311666,7a,N
1311666,7b,N
1311666,8a,N
1311666,8b,N
1311666,9,N
1311666,10,N
1311666,11a,N
1311666,11b,N
1311666,12a,Y
1311666,12b,N
1311794,3a,N
1311794,3b,N
1311794,4a,N
1311794,4b,N
1311794,5,Y
1311794,6a,Y
1311794,6b,N
1311794,7a,N
1311794,7b,N
1311794,8a,N
1311794,8b,N
1311794,9,N
1311794,10,N
1311794,11a,N
1311794,11b,N
1311794,12a,Y
1311794,12b,N
1312078,3a,N
1312078,3b,N
1312078,4a,Y
1312078,4b,N
1312078,5,Y
1312078,6a,Y
1312078,6b,N
1312078,7a,N
1312078,7b,N
1312078,8a,N
1312078,8b,N
1312078,9,N
1312078,10,N
1312078,11a,N
1312078,11b,N
1312078,12a,N
1312078,12b,N
1312340,3a,N
1312340,3b,N
1312340,4a,N
1312340,4b,N
1312340,5,Y
1312340,6a,Y
1312340,6b,N
1312340,7a,N
1312340,7b,N
1312340,8a,N
1312340,8b,N
1312340,9,N
1312340,10,N
1312340,11a,N
1312340,11b,N
1312340,12a,Y
1312340,12b,N
1313098,3a,Y
1313098,3b,N
1313098,4a,Y
1313098,4b,Y
1313098,5,Y
1313098,6a,Y
1313098,6b,N
1313098,7a,N
1313098,7b,N
1313098,8a,N
1313098,8b,N
1313098,9,N
1313098,10,N
1313098,11a,N
1313098,11b,N
1313098,12a,Y
1313098,12b,N
1313637,3a,N
1313637,3b,N
1313637,4a,Y
1313637,4b,Y
1313637,5,Y
1313637,6a,Y
1313637,6b,N
1313637,7a,Y
1313637,7b,N
1313637,8a,Y
1313637,8b,N
1313637,9,N
1313637,10,N
1313637,11a,N
1313637,11b,N
1313637,12a,Y
1313637,12b,N
1313875,3a,N
1313875,3b,N
1313875,4a,Y
1313875,4b,Y
1313875,5,Y
1313875,6a,Y
1313875,6b,N
1313875,7a,N
1313875,7b,N
1313875,8a,N
1313875,8b,N
1313875,9,N
1313875,10,N
1313875,11a,Y
1313875,11b,Y
1313875,12a,Y
1313875,12b,N
1314536,3a,N
1314536,3b,N
1314536,4a,Y
1314536,4b,N
1314536,5,Y
1314536,6a,Y
1314536,6b,N
1314536,7a,N
1314536,7b,N
1314536,8a,N
1314536,8b,N
1314536,9,N
1314536,10,N
1314536,11a,Y
1314536,11b,N
1314536,12a,Y
1314536,12b,N
1314632,3a,N
1314632,3b,N
1314632,4a,Y
1314632,4b,N
1314632,5,Y
1314632,6a,Y
1314632,6b,N
1314632,7a,N
1314632,7b,N
1314632,8a,N
1314632,8b,Y
1314632,9,N
1314632,10,N
1314632,11a,N
1314632,11b,N
1314632,12a,Y
1314632,12b,N
1315483,3a,Y
1315483,3b,N
1315483,4a,Y
1315483,4b,N
1315483,5,Y
1315483,6a,Y
1315483,6b,N
1315483,7a,N
1315483,7b,N
1315483,8a,N
1315483,8b,Y
1315483,9,N
1315483,10,N
1315483,11a,N
1315483,11b,N
1315483,12a,Y
1315483,12b,N
1315560,3a,N
1315560,3b,N
1315560,4a,N
1315560,4b,N
1315560,5,N
1315560,6a,N
1315560,6b,N
1315560,7a,N
1315560,7b,N
1315560,8a,N
1315560,8b,N
1315560,9,N
1315560,10,N
1315560,11a,N
1315560,11b,N
1315560,12a,Y
1315560,12b,N
1315661,3a,Y
1315661,3b,Y
1315661,4a,Y
1315661,4b,Y
1315661,5,Y
1315661,6a,Y
1315661,6b,N
1315661,7a,Y
1315661,7b,N
1315661,8a,Y
1315661,8b,Y
1315661,9,N
1315661,10,Y
1315661,11a,Y
1315661,11b,N
1315661,12a,N
1315661,12b,N
1315662,3a,Y
1315662,3b,N
1315662,4a,N
1315662,4b,Y
1315662,5,N
1315662,6a,Y
1315662,6b,N
1315662,7a,N
1315662,7b,N
1315662,8a,N
1315662,8b,N
1315662,9,N
1315662,10,N
1315662,11a,N
1315662,11b,N
1315662,12a,Y
1315662,12b,N
1316059,3a,N
1316059,3b,N
1316059,4a,Y
1316059,4b,N
1316059,5,Y
1316059,6a,Y
1316059,6b,N
1316059,7a,N
1316059,7b,N
1316059,8a,N
1316059,8b,N
1316059,9,Y
1316059,10,Y
1316059,11a,Y
1316059,11b,Y
1316059,12a,Y
1316059,12b,N
1316060,3a,N
1316060,3b,N
1316060,4a,Y
1316060,4b,Y
1316060,5,Y
1316060,6a,Y
1316060,6b,N
1316060,7a,N
1316060,7b,N
1316060,8a,N
1316060,8b,N
1316060,9,N
1316060,10,N
1316060,11a,N
1316060,11b,N
1316060,12a,Y
1316060,12b,N
1316061,3a,N
1316061,3b,N
1316061,4a,Y
1316061,4b,N
1316061,5,N
1316061,6a,Y
1316061,6b,N
1316061,7a,N
1316061,7b,N
1316061,8a,N
1316061,8b,N
1316061,9,N
1316061,10,N
1316061,11a,N
1316061,11b,N
1316061,12a,Y
1316061,12b,N
1316066,3a,N
1316066,3b,N
1316066,4a,Y
1316066,4b,N
1316066,5,Y
1316066,6a,Y
1316066,6b,N
1316066,7a,N
1316066,7b,N
1316066,8a,Y
1316066,8b,N
1316066,9,N
1316066,10,N
1316066,11a,N
1316066,11b,Y
1316066,12a,Y
1316066,12b,N
1316074,3a,Y
1316074,3b,N
1316074,4a,Y
1316074,4b,Y
1316074,5,Y
1316074,6a,Y
1316074,6b,N
1316074,7a,N
1316074,7b,N
1316074,8a,N
1316074,8b,N
1316074,9,N
1316074,10,N
1316074,11a,Y
1316074,11b,N
1316074,12a,N
1316074,12b,N
1316075,3a,N
1316075,3b,N
1316075,4a,Y
1316075,4b,N
1316075,5,Y
1316075,6a,Y
1316075,6b,N
1316075,7a,N
1316075,7b,N
1316075,8a,N
1316075,8b,N
1316075,9,N
1316075,10,N
1316075,11a,Y
1316075,11b,N
1316075,12a,Y
1316075,12b,N
1316077,3a,N
1316077,3b,N
1316077,4a,Y
1316077,4b,N
1316077,5,Y
1316077,6a,Y
1316077,6b,N
1316077,7a,N
1316077,7b,N
1316077,8a,Y
1316077,8b,N
1316077,9,N
1316077,10,N
1316077,11a,Y
1316077,11b,N
1316077,12a,Y
1316077,12b,N
1318081,3a,N
1318081,3b,N
1318081,4a,Y
1318081,4b,N
1318081,5,Y
