PMID,CONSORT_item,is_reported
2802032,3a,N
2802032,3b,N
2802032,4a,N
2802032,4b,N
2802032,5,Y
2802032,6a,Y
2802032,6b,N
2802032,7a,N
2802032,7b,N
2802032,8a,N
2802032,8b,N
2802032,9,N
2802032,10,N
2802032,11a,N
2802032,11b,N
2802032,12a,Y
2802032,12b,N
2802036,3a,N
2802036,3b,N
2802036,4a,Y
2802036,4b,N
2802036,5,Y
2802036,6a,Y
2802036,6b,N
2802036,7a,N
2802036,7b,N
2802036,8a,N
2802036,8b,N
2802036,9,N
2802036,10,Y
2802036,11a,N
2802036,11b,N
2802036,12a,N
2802036,12b,N
2803882,3a,N
2803882,3b,N
2803882,4a,Y
2803882,4b,N
2803882,5,Y
2803882,6a,Y
2803882,6b,N
2803882,7a,N
2803882,7b,N
2803882,8a,N
2803882,8b,N
2803882,9,N
2803882,10,N
2803882,11a,Y
2803882,11b,N
2803882,12a,Y
2803882,12b,N
2807006,3a,N
2807006,3b,N
2807006,4a,Y
2807006,4b,N
2807006,5,Y
2807006,6a,Y
2807006,6b,N
2807006,7a,N
2807006,7b,N
2807006,8a,N
2807006,8b,N
2807006,9,N
2807006,10,N
2807006,11a,N
2807006,11b,N
2807006,12a,N
2807006,12b,N
2807523,3a,N
2807523,3b,N
2807523,4a,N
2807523,4b,Y
2807523,5,Y
2807523,6a,Y
2807523,6b,N
2807523,7a,N
2807523,7b,N
2807523,8a,N
2807523,8b,N
2807523,9,N
2807523,10,N
2807523,11a,N
2807523,11b,N
2807523,12a,N
2807523,12b,N
2808056,3a,N
2808056,3b,N
2808056,4a,Y
2808056,4b,N
2808056,5,Y
2808056,6a,Y
2808056,6b,N
2808056,7a,N
2808056,7b,N
2808056,8a,N
2808056,8b,Y
2808056,9,N
2808056,10,N
2808056,11a,N
2808056,11b,N
2808056,12a,Y
2808056,12b,N
2808984,3a,N
2808984,3b,N
2808984,4a,N
2808984,4b,N
2808984,5,Y
2808984,6a,Y
2808984,6b,N
2808984,7a,N
2808984,7b,N
2808984,8a,N
2808984,8b,N
2808984,9,N
2808984,10,N
2808984,11a,Y
2808984,11b,N
2808984,12a,Y
2808984,12b,N
2809002,3a,Y
2809002,3b,N
2809002,4a,Y
2809002,4b,N
2809002,5,Y
2809002,6a,Y
2809002,6b,N
2809002,7a,N
2809002,7b,N
2809002,8a,N
2809002,8b,N
2809002,9,N
2809002,10,N
2809002,11a,N
2809002,11b,N
2809002,12a,Y
2809002,12b,N
