PMID,CONSORT_item,is_reported
240014,3a,N
240014,3b,N
240014,4a,Y
240014,4b,N
240014,5,Y
240014,6a,Y
240014,6b,N
240014,7a,N
240014,7b,N
240014,8a,Y
240014,8b,N
240014,9,N
240014,10,N
240014,11a,N
240014,11b,N
240014,12a,Y
240014,12b,N
247895,3a,N
247895,3b,N
247895,4a,N
247895,4b,Y
247895,5,Y
247895,6a,Y
247895,6b,N
247895,7a,N
247895,7b,N
247895,8a,N
247895,8b,N
247895,9,N
247895,10,N
247895,11a,N
247895,11b,N
247895,12a,Y
247895,12b,N
2401123,3a,N
2401123,3b,N
2401123,4a,N
2401123,4b,N
2401123,5,Y
2401123,6a,Y
2401123,6b,N
2401123,7a,N
2401123,7b,N
2401123,8a,N
2401123,8b,N
2401123,9,N
2401123,10,N
2401123,11a,N
2401123,11b,N
2401123,12a,Y
2401123,12b,Y
2401129,3a,Y
2401129,3b,N
2401129,4a,Y
2401129,4b,N
2401129,5,Y
2401129,6a,Y
2401129,6b,N
2401129,7a,N
2401129,7b,N
2401129,8a,N
2401129,8b,N
2401129,9,N
2401129,10,N
2401129,11a,N
2401129,11b,N
2401129,12a,Y
2401129,12b,N
2403818,3a,N
2403818,3b,N
2403818,4a,Y
2403818,4b,Y
2403818,5,Y
2403818,6a,Y
2403818,6b,N
2403818,7a,N
2403818,7b,N
2403818,8a,N
2403818,8b,Y
2403818,9,N
2403818,10,N
2403818,11a,N
2403818,11b,N
2403818,12a,Y
2403818,12b,N
2403903,3a,Y
2403903,3b,N
2403903,4a,Y
2403903,4b,N
2403903,5,Y
2403903,6a,Y
2403903,6b,N
2403903,7a,N
2403903,7b,N
2403903,8a,N
2403903,8b,N
2403903,9,N
2403903,10,N
2403903,11a,N
2403903,11b,Y
2403903,12a,Y
2403903,12b,N
2404087,3a,N
2404087,3b,N
2404087,4a,Y
2404087,4b,N
2404087,5,Y
2404087,6a,Y
2404087,6b,N
2404087,7a,N
2404087,7b,N
2404087,8a,N
2404087,8b,N
2404087,9,N
2404087,10,Y
2404087,11a,N
2404087,11b,N
2404087,12a,Y
2404087,12b,N
2404097,3a,N
2404097,3b,N
2404097,4a,Y
2404097,4b,Y
2404097,5,Y
2404097,6a,Y
2404097,6b,N
2404097,7a,N
2404097,7b,N
2404097,8a,N
2404097,8b,N
2404097,9,N
2404097,10,N
2404097,11a,N
2404097,11b,N
2404097,12a,Y
2404097,12b,N
2404388,3a,N
2404388,3b,N
2404388,4a,Y
2404388,4b,N
2404388,5,Y
2404388,6a,Y
2404388,6b,N
2404388,7a,N
2404388,7b,N
2404388,8a,N
2404388,8b,N
2404388,9,Y
2404388,10,Y
2404388,11a,N
2404388,11b,N
2404388,12a,Y
2404388,12b,N
2404434,3a,N
2404434,3b,N
2404434,4a,Y
2404434,4b,N
2404434,5,Y
2404434,6a,Y
2404434,6b,N
2404434,7a,N
2404434,7b,N
2404434,8a,N
2404434,8b,N
2404434,9,N
2404434,10,N
2404434,11a,Y
2404434,11b,N
2404434,12a,Y
2404434,12b,N
2404435,3a,N
2404435,3b,N
2404435,4a,Y
2404435,4b,Y
2404435,5,Y
2404435,6a,Y
2404435,6b,N
2404435,7a,N
2404435,7b,N
2404435,8a,N
2404435,8b,N
2404435,9,N
2404435,10,N
2404435,11a,N
2404435,11b,N
2404435,12a,Y
2404435,12b,N
2404436,3a,N
2404436,3b,N
2404436,4a,Y
2404436,4b,N
2404436,5,Y
2404436,6a,Y
2404436,6b,N
2404436,7a,N
2404436,7b,N
2404436,8a,N
2404436,8b,N
2404436,9,N
2404436,10,Y
2404436,11a,Y
2404436,11b,N
2404436,12a,Y
2404436,12b,N
2404650,3a,Y
2404650,3b,N
2404650,4a,Y
2404650,4b,N
2404650,5,Y
2404650,6a,Y
2404650,6b,N
2404650,7a,N
2404650,7b,N
2404650,8a,N
2404650,8b,N
2404650,9,N
2404650,10,N
2404650,11a,N
2404650,11b,N
2404650,12a,Y
2404650,12b,N
2404838,3a,N
2404838,3b,N
2404838,4a,N
2404838,4b,Y
2404838,5,Y
2404838,6a,Y
2404838,6b,N
2404838,7a,N
2404838,7b,N
2404838,8a,N
2404838,8b,N
2404838,9,N
2404838,10,N
2404838,11a,N
2404838,11b,N
2404838,12a,Y
2404838,12b,N
2404917,3a,N
2404917,3b,N
2404917,4a,N
2404917,4b,N
2404917,5,Y
2404917,6a,Y
2404917,6b,N
2404917,7a,N
2404917,7b,N
2404917,8a,Y
2404917,8b,N
2404917,9,N
2404917,10,N
2404917,11a,N
2404917,11b,N
2404917,12a,Y
2404917,12b,N
2405040,3a,N
2405040,3b,N
2405040,4a,N
2405040,4b,N
2405040,5,Y
2405040,6a,Y
2405040,6b,N
2405040,7a,N
2405040,7b,N
2405040,8a,N
2405040,8b,N
2405040,9,N
2405040,10,N
2405040,11a,N
2405040,11b,N
2405040,12a,Y
2405040,12b,N
2405042,3a,N
2405042,3b,N
2405042,4a,Y
2405042,4b,N
2405042,5,Y
2405042,6a,Y
2405042,6b,N
2405042,7a,N
2405042,7b,N
2405042,8a,N
2405042,8b,N
2405042,9,N
2405042,10,N
2405042,11a,N
2405042,11b,N
2405042,12a,N
2405042,12b,N
2405105,3a,N
2405105,3b,N
2405105,4a,Y
2405105,4b,N
2405105,5,Y
2405105,6a,Y
2405105,6b,N
2405105,7a,N
2405105,7b,Y
2405105,8a,Y
2405105,8b,Y
2405105,9,N
2405105,10,N
2405105,11a,Y
2405105,11b,Y
2405105,12a,Y
2405105,12b,N
2405107,3a,N
2405107,3b,N
2405107,4a,Y
2405107,4b,N
2405107,5,Y
2405107,6a,Y
2405107,6b,N
2405107,7a,N
2405107,7b,N
2405107,8a,N
2405107,8b,Y
2405107,9,N
2405107,10,N
2405107,11a,N
2405107,11b,N
2405107,12a,Y
2405107,12b,N
2405108,3a,N
2405108,3b,N
2405108,4a,N
2405108,4b,N
2405108,5,Y
2405108,6a,Y
2405108,6b,N
2405108,7a,N
2405108,7b,N
2405108,8a,N
2405108,8b,N
2405108,9,N
2405108,10,N
2405108,11a,N
2405108,11b,N
2405108,12a,N
2405108,12b,N
2405140,3a,N
2405140,3b,N
2405140,4a,Y
2405140,4b,Y
2405140,5,Y
2405140,6a,Y
2405140,6b,N
2405140,7a,N
2405140,7b,N
2405140,8a,Y
2405140,8b,N
2405140,9,N
2405140,10,N
2405140,11a,N
2405140,11b,N
2405140,12a,Y
2405140,12b,N
2405141,3a,N
2405141,3b,N
2405141,4a,Y
2405141,4b,N
2405141,5,Y
2405141,6a,Y
2405141,6b,N
2405141,7a,Y
2405141,7b,N
2405141,8a,Y
2405141,8b,N
2405141,9,Y
2405141,10,Y
2405141,11a,Y
2405141,11b,N
2405141,12a,Y
2405141,12b,N
2405609,3a,Y
2405609,3b,N
2405609,4a,N
2405609,4b,Y
2405609,5,Y
2405609,6a,Y
2405609,6b,N
2405609,7a,N
2405609,7b,N
2405609,8a,N
2405609,8b,N
2405609,9,N
2405609,10,N
2405609,11a,Y
2405609,11b,N
2405609,12a,Y
2405609,12b,N
2405616,3a,Y
2405616,3b,N
2405616,4a,Y
2405616,4b,Y
2405616,5,Y
2405616,6a,Y
2405616,6b,N
2405616,7a,N
2405616,7b,N
2405616,8a,N
2405616,8b,Y
2405616,9,N
2405616,10,N
2405616,11a,N
2405616,11b,N
2405616,12a,Y
2405616,12b,N
2405619,3a,Y
2405619,3b,N
2405619,4a,N
2405619,4b,N
2405619,5,N
2405619,6a,N
2405619,6b,N
2405619,7a,N
2405619,7b,N
2405619,8a,N
2405619,8b,N
2405619,9,N
2405619,10,N
2405619,11a,N
2405619,11b,N
2405619,12a,Y
2405619,12b,Y
2405730,3a,N
2405730,3b,N
2405730,4a,Y
2405730,4b,N
2405730,5,Y
2405730,6a,Y
2405730,6b,N
2405730,7a,N
2405730,7b,N
2405730,8a,N
2405730,8b,N
2405730,9,Y
2405730,10,N
2405730,11a,N
2405730,11b,N
2405730,12a,Y
2405730,12b,Y
2405733,3a,N
2405733,3b,N
2405733,4a,Y
2405733,4b,N
2405733,5,Y
2405733,6a,Y
2405733,6b,N
2405733,7a,N
2405733,7b,N
2405733,8a,N
2405733,8b,N
2405733,9,N
2405733,10,N
2405733,11a,N
2405733,11b,Y
2405733,12a,Y
2405733,12b,N
2405749,3a,N
2405749,3b,N
2405749,4a,Y
2405749,4b,Y
2405749,5,Y
2405749,6a,Y
2405749,6b,N
2405749,7a,N
2405749,7b,N
2405749,8a,N
2405749,8b,N
2405749,9,Y
2405749,10,N
2405749,11a,N
2405749,11b,N
2405749,12a,Y
2405749,12b,N
2405893,3a,Y
2405893,3b,N
2405893,4a,Y
2405893,4b,Y
2405893,5,Y
2405893,6a,Y
2405893,6b,N
2405893,7a,N
2405893,7b,N
2405893,8a,N
2405893,8b,N
2405893,9,N
2405893,10,N
2405893,11a,N
2405893,11b,N
2405893,12a,Y
2405893,12b,N
2405915,3a,N
2405915,3b,N
2405915,4a,Y
2405915,4b,N
2405915,5,Y
2405915,6a,Y
2405915,6b,N
2405915,7a,N
2405915,7b,N
2405915,8a,Y
2405915,8b,N
2405915,9,N
2405915,10,N
2405915,11a,N
2405915,11b,N
2405915,12a,Y
2405915,12b,N
2406218,3a,N
2406218,3b,N
2406218,4a,Y
2406218,4b,Y
