PMID,CONSORT_item,is_reported
20124,3a,N
20124,3b,N
20124,4a,N
20124,4b,N
20124,5,Y
20124,6a,Y
20124,6b,N
20124,7a,N
20124,7b,N
20124,8a,N
20124,8b,N
20124,9,N
20124,10,N
20124,11a,N
20124,11b,Y
20124,12a,Y
20124,12b,N
20551,3a,N
20551,3b,N
20551,4a,N
20551,4b,N
20551,5,Y
20551,6a,Y
20551,6b,N
20551,7a,N
20551,7b,N
20551,8a,N
20551,8b,N
20551,9,N
20551,10,N
20551,11a,N
20551,11b,N
20551,12a,N
20551,12b,N
201937,3a,N
201937,3b,N
201937,4a,Y
201937,4b,N
201937,5,Y
201937,6a,Y
201937,6b,N
201937,7a,N
201937,7b,N
201937,8a,Y
201937,8b,N
201937,9,N
201937,10,N
201937,11a,N
201937,11b,N
201937,12a,N
201937,12b,N
204183,3a,N
204183,3b,N
204183,4a,Y
204183,4b,Y
204183,5,Y
204183,6a,Y
204183,6b,N
204183,7a,N
204183,7b,N
204183,8a,N
204183,8b,Y
204183,9,N
204183,10,N
204183,11a,N
204183,11b,N
204183,12a,N
204183,12b,N
209263,3a,N
209263,3b,N
209263,4a,Y
209263,4b,N
209263,5,Y
209263,6a,Y
209263,6b,N
209263,7a,N
209263,7b,N
209263,8a,N
209263,8b,N
209263,9,N
209263,10,N
209263,11a,N
209263,11b,Y
209263,12a,N
209263,12b,N
2000035,3a,N
2000035,3b,N
2000035,4a,N
2000035,4b,N
2000035,5,Y
2000035,6a,Y
2000035,6b,N
2000035,7a,Y
2000035,7b,N
2000035,8a,N
2000035,8b,N
2000035,9,N
2000035,10,N
2000035,11a,N
2000035,11b,N
2000035,12a,Y
2000035,12b,N
2000036,3a,N
2000036,3b,N
2000036,4a,Y
2000036,4b,Y
2000036,5,Y
2000036,6a,Y
2000036,6b,N
2000036,7a,N
2000036,7b,N
2000036,8a,Y
2000036,8b,N
2000036,9,N
2000036,10,N
2000036,11a,Y
2000036,11b,Y
2000036,12a,Y
2000036,12b,N
2000045,3a,N
2000045,3b,N
2000045,4a,N
2000045,4b,N
2000045,5,Y
2000045,6a,Y
2000045,6b,N
2000045,7a,N
2000045,7b,N
2000045,8a,N
2000045,8b,N
2000045,9,N
2000045,10,N
2000045,11a,N
2000045,11b,N
2000045,12a,Y
2000045,12b,N
2000739,3a,Y
2000739,3b,N
2000739,4a,N
2000739,4b,N
2000739,5,N
2000739,6a,N
2000739,6b,N
2000739,7a,N
2000739,7b,N
2000739,8a,N
2000739,8b,N
2000739,9,N
2000739,10,N
2000739,11a,N
2000739,11b,N
2000739,12a,N
2000739,12b,N
2000752,3a,N
2000752,3b,N
2000752,4a,Y
2000752,4b,N
2000752,5,N
2000752,6a,Y
2000752,6b,N
2000752,7a,N
2000752,7b,N
2000752,8a,N
2000752,8b,N
2000752,9,N
2000752,10,N
2000752,11a,N
2000752,11b,N
2000752,12a,Y
2000752,12b,N
2000785,3a,N
2000785,3b,N
2000785,4a,N
2000785,4b,N
2000785,5,Y
2000785,6a,Y
2000785,6b,N
2000785,7a,N
2000785,7b,N
2000785,8a,N
2000785,8b,N
2000785,9,N
2000785,10,N
2000785,11a,N
2000785,11b,N
2000785,12a,Y
2000785,12b,N
2000786,3a,N
2000786,3b,N
2000786,4a,Y
2000786,4b,Y
2000786,5,Y
2000786,6a,Y
2000786,6b,N
2000786,7a,N
2000786,7b,N
2000786,8a,N
2000786,8b,N
2000786,9,N
2000786,10,N
2000786,11a,Y
2000786,11b,N
2000786,12a,Y
2000786,12b,N
2000790,3a,N
2000790,3b,N
2000790,4a,Y
2000790,4b,N
2000790,5,Y
2000790,6a,Y
2000790,6b,N
2000790,7a,Y
2000790,7b,N
2000790,8a,N
2000790,8b,Y
2000790,9,N
2000790,10,N
2000790,11a,N
2000790,11b,N
2000790,12a,Y
2000790,12b,N
2000792,3a,Y
2000792,3b,N
2000792,4a,Y
2000792,4b,N
2000792,5,Y
2000792,6a,Y
2000792,6b,N
2000792,7a,N
2000792,7b,N
2000792,8a,N
2000792,8b,N
2000792,9,N
2000792,10,N
2000792,11a,N
2000792,11b,N
2000792,12a,Y
2000792,12b,N
2000798,3a,N
2000798,3b,N
2000798,4a,N
2000798,4b,N
2000798,5,Y
