PMID,CONSORT_item,is_reported
19514,3a,Y
19514,3b,N
19514,4a,N
19514,4b,N
19514,5,Y
19514,6a,Y
19514,6b,N
19514,7a,N
19514,7b,N
19514,8a,N
19514,8b,N
19514,9,N
19514,10,N
19514,11a,N
19514,11b,N
19514,12a,N
19514,12b,N
1900443,3a,Y
1900443,3b,N
1900443,4a,Y
1900443,4b,Y
1900443,5,Y
1900443,6a,Y
1900443,6b,N
1900443,7a,N
1900443,7b,N
1900443,8a,N
1900443,8b,N
1900443,9,N
1900443,10,N
1900443,11a,N
1900443,11b,N
1900443,12a,Y
1900443,12b,N
1900978,3a,N
1900978,3b,N
1900978,4a,Y
1900978,4b,N
1900978,5,Y
1900978,6a,Y
1900978,6b,N
1900978,7a,N
1900978,7b,N
1900978,8a,N
1900978,8b,N
1900978,9,N
1900978,10,N
1900978,11a,N
1900978,11b,N
1900978,12a,Y
1900978,12b,N
1901072,3a,Y
1901072,3b,N
1901072,4a,Y
1901072,4b,N
1901072,5,Y
1901072,6a,Y
1901072,6b,N
1901072,7a,Y
1901072,7b,N
1901072,8a,Y
1901072,8b,N
1901072,9,N
1901072,10,N
1901072,11a,Y
1901072,11b,N
1901072,12a,Y
1901072,12b,N
1901808,3a,N
1901808,3b,N
1901808,4a,Y
1901808,4b,N
1901808,5,N
1901808,6a,Y
1901808,6b,N
1901808,7a,N
1901808,7b,N
1901808,8a,N
1901808,8b,N
1901808,9,N
1901808,10,N
1901808,11a,N
1901808,11b,N
1901808,12a,Y
1901808,12b,N
1902052,3a,Y
1902052,3b,N
1902052,4a,N
1902052,4b,N
1902052,5,Y
1902052,6a,Y
1902052,6b,N
1902052,7a,N
1902052,7b,N
1902052,8a,N
1902052,8b,N
1902052,9,N
1902052,10,N
1902052,11a,N
1902052,11b,N
1902052,12a,Y
1902052,12b,Y
1902054,3a,N
1902054,3b,N
1902054,4a,Y
1902054,4b,N
1902054,5,Y
1902054,6a,Y
1902054,6b,N
1902054,7a,N
1902054,7b,N
1902054,8a,N
1902054,8b,N
1902054,9,N
1902054,10,N
1902054,11a,N
1902054,11b,N
1902054,12a,Y
1902054,12b,Y
1902253,3a,Y
1902253,3b,N
1902253,4a,Y
1902253,4b,N
1902253,5,Y
1902253,6a,Y
1902253,6b,N
1902253,7a,N
1902253,7b,N
1902253,8a,N
1902253,8b,N
1902253,9,N
1902253,10,N
1902253,11a,Y
1902253,11b,N
1902253,12a,Y
1902253,12b,N
1902410,3a,Y
1902410,3b,N
1902410,4a,N
1902410,4b,Y
1902410,5,Y
1902410,6a,Y
1902410,6b,N
1902410,7a,N
1902410,7b,N
1902410,8a,N
1902410,8b,N
1902410,9,N
1902410,10,N
1902410,11a,Y
1902410,11b,N
1902410,12a,Y
