PMID,CONSORT_item,is_reported
1701005,3a,N
1701005,3b,N
1701005,4a,Y
1701005,4b,Y
1701005,5,Y
1701005,6a,Y
1701005,6b,N
1701005,7a,N
1701005,7b,N
1701005,8a,Y
1701005,8b,N
1701005,9,N
1701005,10,N
1701005,11a,N
1701005,11b,N
1701005,12a,Y
1701005,12b,N
1701715,3a,Y
1701715,3b,N
1701715,4a,N
1701715,4b,N
1701715,5,Y
1701715,6a,Y
1701715,6b,N
1701715,7a,N
1701715,7b,N
1701715,8a,Y
1701715,8b,N
1701715,9,N
1701715,10,N
1701715,11a,N
1701715,11b,N
1701715,12a,Y
1701715,12b,N
1702012,3a,Y
1702012,3b,N
1702012,4a,Y
1702012,4b,N
1702012,5,Y
1702012,6a,Y
1702012,6b,N
1702012,7a,Y
1702012,7b,Y
1702012,8a,N
1702012,8b,N
1702012,9,N
1702012,10,N
1702012,11a,N
1702012,11b,N
1702012,12a,Y
1702012,12b,N
1702144,3a,N
1702144,3b,N
1702144,4a,Y
1702144,4b,N
1702144,5,Y
1702144,6a,Y
1702144,6b,N
1702144,7a,N
1702144,7b,N
1702144,8a,N
1702144,8b,Y
1702144,9,N
1702144,10,N
1702144,11a,N
1702144,11b,N
1702144,12a,N
1702144,12b,N
1702148,3a,N
1702148,3b,N
1702148,4a,Y
1702148,4b,N
1702148,5,Y
1702148,6a,Y
1702148,6b,N
1702148,7a,Y
1702148,7b,N
1702148,8a,N
1702148,8b,N
1702148,9,N
1702148,10,N
1702148,11a,N
1702148,11b,N
1702148,12a,Y
1702148,12b,N
1704245,3a,Y
1704245,3b,N
1704245,4a,N
1704245,4b,Y
1704245,5,N
1704245,6a,Y
1704245,6b,N
1704245,7a,N
1704245,7b,N
1704245,8a,N
1704245,8b,N
1704245,9,Y
1704245,10,Y
1704245,11a,N
1704245,11b,N
1704245,12a,Y
1704245,12b,N
1704837,3a,Y
1704837,3b,N
1704837,4a,Y
1704837,4b,N
1704837,5,Y
1704837,6a,Y
1704837,6b,N
1704837,7a,N
1704837,7b,N
1704837,8a,N
1704837,8b,N
1704837,9,N
1704837,10,N
1704837,11a,N
1704837,11b,N
1704837,12a,Y
1704837,12b,N
1705348,3a,N
1705348,3b,N
1705348,4a,Y
1705348,4b,N
1705348,5,N
1705348,6a,Y
1705348,6b,N
1705348,7a,N
1705348,7b,N
1705348,8a,N
1705348,8b,Y
1705348,9,N
1705348,10,Y
1705348,11a,N
1705348,11b,N
1705348,12a,N
1705348,12b,N
1705386,3a,Y
1705386,3b,N
1705386,4a,Y
1705386,4b,N
1705386,5,Y
1705386,6a,Y
1705386,6b,N
1705386,7a,N
1705386,7b,N
1705386,8a,N
1705386,8b,N
1705386,9,N
1705386,10,N
1705386,11a,N
1705386,11b,N
1705386,12a,Y
1705386,12b,N
1706248,3a,N
1706248,3b,N
1706248,4a,N
1706248,4b,N
1706248,5,N
1706248,6a,Y
1706248,6b,N
1706248,7a,N
1706248,7b,N
1706248,8a,N
1706248,8b,N
1706248,9,N
1706248,10,N
1706248,11a,N
1706248,11b,N
1706248,12a,Y
1706248,12b,N
1707230,3a,N
1707230,3b,N
1707230,4a,Y
1707230,4b,N
1707230,5,Y
1707230,6a,Y
1707230,6b,N
1707230,7a,N
1707230,7b,N
1707230,8a,N
1707230,8b,N
1707230,9,N
1707230,10,N
1707230,11a,N
1707230,11b,N
1707230,12a,Y
1707230,12b,Y
1707646,3a,N
1707646,3b,N
1707646,4a,N
1707646,4b,N
1707646,5,Y
1707646,6a,Y
1707646,6b,N
1707646,7a,N
1707646,7b,N
1707646,8a,N
1707646,8b,N
1707646,9,N
1707646,10,N
1707646,11a,N
1707646,11b,N
1707646,12a,Y
1707646,12b,N
1707797,3a,N
1707797,3b,N
1707797,4a,N
1707797,4b,N
1707797,5,Y
1707797,6a,Y
1707797,6b,N
1707797,7a,N
1707797,7b,N
1707797,8a,N
1707797,8b,N
1707797,9,N
1707797,10,N
1707797,11a,N
1707797,11b,N
1707797,12a,Y
1707797,12b,N
1708214,3a,Y
1708214,3b,N
1708214,4a,Y
1708214,4b,Y
1708214,5,Y
1708214,6a,Y
1708214,6b,N
1708214,7a,N
1708214,7b,N
1708214,8a,N
1708214,8b,N
1708214,9,N
1708214,10,N
1708214,11a,N
1708214,11b,N
1708214,12a,Y
1708214,12b,N
1709338,3a,Y
1709338,3b,N
1709338,4a,N
1709338,4b,Y
1709338,5,Y
1709338,6a,Y
1709338,6b,N
1709338,7a,N
1709338,7b,N
1709338,8a,N
