PMID,CONSORT_item,is_reported
10940,3a,Y
10940,3b,N
10940,4a,N
10940,4b,N
10940,5,Y
10940,6a,Y
10940,6b,N
10940,7a,N
10940,7b,N
10940,8a,N
10940,8b,N
10940,9,N
10940,10,N
10940,11a,N
10940,11b,N
10940,12a,N
10940,12b,N
10941,3a,Y
10941,3b,N
10941,4a,N
10941,4b,N
10941,5,Y
10941,6a,Y
10941,6b,N
10941,7a,N
10941,7b,N
10941,8a,Y
10941,8b,N
10941,9,N
10941,10,N
10941,11a,Y
10941,11b,Y
10941,12a,N
10941,12b,N
10942,3a,Y
10942,3b,N
10942,4a,N
10942,4b,N
10942,5,Y
10942,6a,Y
10942,6b,N
10942,7a,N
10942,7b,N
10942,8a,N
10942,8b,N
10942,9,N
10942,10,N
10942,11a,N
10942,11b,Y
10942,12a,Y
10942,12b,N
105970,3a,N
105970,3b,N
105970,4a,N
105970,4b,N
105970,5,Y
105970,6a,Y
105970,6b,N
105970,7a,N
105970,7b,N
105970,8a,N
105970,8b,N
105970,9,N
105970,10,N
105970,11a,Y
105970,11b,Y
105970,12a,Y
105970,12b,N
1012896,3a,N
1012896,3b,N
1012896,4a,N
1012896,4b,N
1012896,5,N
1012896,6a,Y
1012896,6b,N
1012896,7a,N
1012896,7b,N
1012896,8a,Y
1012896,8b,N
1012896,9,N
1012896,10,N
1012896,11a,N
1012896,11b,N
1012896,12a,N
1012896,12b,N
1055560,3a,N
1055560,3b,N
1055560,4a,N
1055560,4b,N
1055560,5,Y
1055560,6a,Y
1055560,6b,N
1055560,7a,N
1055560,7b,N
1055560,8a,N
1055560,8b,N
1055560,9,N
1055560,10,N
1055560,11a,N
1055560,11b,N
1055560,12a,N
1055560,12b,N
1060744,3a,N
1060744,3b,N
1060744,4a,Y
1060744,4b,N
1060744,5,Y
1060744,6a,N
1060744,6b,N
1060744,7a,N
1060744,7b,N
1060744,8a,N
1060744,8b,N
1060744,9,N
1060744,10,N
1060744,11a,N
1060744,11b,N
1060744,12a,N
1060744,12b,N
1087138,3a,N
1087138,3b,N
1087138,4a,Y
1087138,4b,N
1087138,5,Y
1087138,6a,Y
1087138,6b,N
1087138,7a,N
1087138,7b,N
1087138,8a,N
1087138,8b,Y
1087138,9,N
1087138,10,N
1087138,11a,N
1087138,11b,N
1087138,12a,N
1087138,12b,N
1090718,3a,N
1090718,3b,N
1090718,4a,Y
1090718,4b,N
1090718,5,Y
1090718,6a,N
1090718,6b,N
1090718,7a,Y
1090718,7b,N
1090718,8a,N
1090718,8b,N
1090718,9,N
1090718,10,N
1090718,11a,N
1090718,11b,N
1090718,12a,N
1090718,12b,N
1091532,3a,Y
1091532,3b,N
1091532,4a,N
1091532,4b,Y
1091532,5,Y
1091532,6a,Y
1091532,6b,N
1091532,7a,N
1091532,7b,N
1091532,8a,N
1091532,8b,N
1091532,9,N
1091532,10,N
1091532,11a,N
1091532,11b,N
1091532,12a,N
1091532,12b,N
1093308,3a,N
1093308,3b,N
1093308,4a,N
1093308,4b,N
1093308,5,Y
1093308,6a,Y
1093308,6b,N
1093308,7a,N
1093308,7b,N
1093308,8a,N
1093308,8b,N
1093308,9,Y
1093308,10,Y
1093308,11a,N
1093308,11b,N
1093308,12a,N
1093308,12b,N
1098684,3a,N
1098684,3b,N
1098684,4a,Y
1098684,4b,N
1098684,5,Y
1098684,6a,Y
1098684,6b,N
1098684,7a,N
1098684,7b,N
1098684,8a,N
1098684,8b,N
1098684,9,N
1098684,10,N
1098684,11a,N
1098684,11b,N
1098684,12a,N
1098684,12b,N
10021304,3a,N
10021304,3b,N
10021304,4a,N
10021304,4b,N
10021304,5,Y
10021304,6a,Y
10021304,6b,N
10021304,7a,N
10021304,7b,N
10021304,8a,N
10021304,8b,N
10021304,9,N
10021304,10,N
10021304,11a,N
10021304,11b,N
10021304,12a,Y
10021304,12b,N
10021951,3a,N
10021951,3b,N
10021951,4a,N
10021951,4b,N
10021951,5,Y
10021951,6a,Y
10021951,6b,N
10021951,7a,N
10021951,7b,N
10021951,8a,N
10021951,8b,N
10021951,9,N
10021951,10,N
10021951,11a,N
10021951,11b,N
10021951,12a,Y
10021951,12b,N
10021952,3a,Y
10021952,3b,N
10021952,4a,Y
10021952,4b,N
10021952,5,Y
10021952,6a,Y
10021952,6b,N
10021952,7a,Y
10021952,7b,N
10021952,8a,N
10021952,8b,N
10021952,9,N
10021952,10,N
10021952,11a,N
10021952,11b,N
10021952,12a,Y
10021952,12b,N
10021953,3a,N
10021953,3b,N
10021953,4a,Y
10021953,4b,N
10021953,5,Y
10021953,6a,Y
10021953,6b,N
10021953,7a,N
10021953,7b,N
10021953,8a,N
10021953,8b,N
10021953,9,N
10021953,10,N
10021953,11a,N
10021953,11b,N
10021953,12a,Y
10021953,12b,N
10021954,3a,Y
10021954,3b,N
10021954,4a,Y
10021954,4b,Y
10021954,5,Y
10021954,6a,Y
10021954,6b,N
10021954,7a,Y
10021954,7b,N
10021954,8a,N
10021954,8b,Y
10021954,9,N
10021954,10,N
10021954,11a,N
10021954,11b,Y
10021954,12a,Y
10021954,12b,N
10021955,3a,N
10021955,3b,N
10021955,4a,Y
10021955,4b,N
10021955,5,Y
10021955,6a,Y
10021955,6b,N
10021955,7a,Y
10021955,7b,N
10021955,8a,Y
10021955,8b,N
10021955,9,N
10021955,10,N
10021955,11a,N
10021955,11b,N
10021955,12a,Y
