PMID,CONSORT_item,is_reported
1801570,3a,Y
1801570,3b,N
1801570,4a,Y
1801570,4b,N
1801570,5,Y
1801570,6a,Y
1801570,6b,N
1801570,7a,N
1801570,7b,N
1801570,8a,Y
1801570,8b,N
1801570,9,N
1801570,10,N
1801570,11a,N
1801570,11b,N
1801570,12a,N
1801570,12b,N
1802656,3a,N
1802656,3b,N
1802656,4a,N
1802656,4b,N
1802656,5,Y
1802656,6a,N
1802656,6b,N
1802656,7a,N
1802656,7b,N
1802656,8a,N
1802656,8b,N
1802656,9,N
1802656,10,N
1802656,11a,N
1802656,11b,N
1802656,12a,N
1802656,12b,N
1802904,3a,Y
1802904,3b,N
1802904,4a,N
1802904,4b,N
1802904,5,Y
1802904,6a,Y
1802904,6b,N
1802904,7a,N
1802904,7b,N
1802904,8a,N
1802904,8b,N
1802904,9,N
1802904,10,N
1802904,11a,N
1802904,11b,N
1802904,12a,Y
1802904,12b,N
1804493,3a,N
1804493,3b,N
1804493,4a,Y
1804493,4b,N
1804493,5,Y
1804493,6a,Y
1804493,6b,N
1804493,7a,N
1804493,7b,N
1804493,8a,N
1804493,8b,N
1804493,9,N
1804493,10,N
1804493,11a,N
1804493,11b,N
1804493,12a,Y
1804493,12b,N
1804644,3a,N
1804644,3b,N
1804644,4a,Y
1804644,4b,N
1804644,5,Y
1804644,6a,Y
1804644,6b,N
1804644,7a,N
1804644,7b,N
1804644,8a,N
1804644,8b,N
1804644,9,N
1804644,10,N
1804644,11a,N
1804644,11b,N
1804644,12a,Y
1804644,12b,N
1804645,3a,Y
1804645,3b,N
1804645,4a,N
1804645,4b,N
1804645,5,Y
1804645,6a,Y
1804645,6b,N
1804645,7a,N
1804645,7b,N
1804645,8a,N
1804645,8b,N
1804645,9,N
1804645,10,N
1804645,11a,N
1804645,11b,N
1804645,12a,Y
1804645,12b,N
1804647,3a,Y
1804647,3b,N
1804647,4a,Y
1804647,4b,N
1804647,5,Y
1804647,6a,Y
1804647,6b,N
1804647,7a,N
1804647,7b,N
1804647,8a,Y
1804647,8b,N
1804647,9,N
1804647,10,N
1804647,11a,N
1804647,11b,N
1804647,12a,Y
1804647,12b,N
1804650,3a,Y
1804650,3b,N
1804650,4a,N
1804650,4b,N
1804650,5,Y
1804650,6a,Y
1804650,6b,N
1804650,7a,N
1804650,7b,N
1804650,8a,N
1804650,8b,Y
1804650,9,N
1804650,10,N
1804650,11a,N
1804650,11b,N
1804650,12a,Y
1804650,12b,N
1804652,3a,N
1804652,3b,N
1804652,4a,N
1804652,4b,N
1804652,5,Y
1804652,6a,Y
1804652,6b,N
1804652,7a,N
1804652,7b,N
1804652,8a,N
1804652,8b,N
1804652,9,N
1804652,10,N
1804652,11a,N
1804652,11b,N
1804652,12a,Y
1804652,12b,Y
1804657,3a,Y
1804657,3b,N
1804657,4a,Y
1804657,4b,N
1804657,5,Y
1804657,6a,Y
1804657,6b,N
1804657,7a,N
1804657,7b,N
1804657,8a,N
1804657,8b,N
1804657,9,N
1804657,10,N
1804657,11a,N
1804657,11b,N
1804657,12a,Y
1804657,12b,N
1804757,3a,N
1804757,3b,N
1804757,4a,N
1804757,4b,N
1804757,5,Y
1804757,6a,Y
1804757,6b,N
1804757,7a,N
1804757,7b,N
1804757,8a,N
1804757,8b,N
1804757,9,N
1804757,10,N
1804757,11a,N
1804757,11b,N
1804757,12a,N
1804757,12b,N
1805294,3a,Y
1805294,3b,N
1805294,4a,Y
1805294,4b,N
1805294,5,Y
1805294,6a,Y
1805294,6b,N
1805294,7a,N
1805294,7b,N
1805294,8a,N
1805294,8b,N
1805294,9,N
1805294,10,N
1805294,11a,N
1805294,11b,N
1805294,12a,Y
1805294,12b,N
1805295,3a,N
1805295,3b,N
1805295,4a,N
1805295,4b,N
1805295,5,Y
1805295,6a,Y
1805295,6b,N
1805295,7a,N
1805295,7b,N
1805295,8a,N
1805295,8b,N
1805295,9,N
1805295,10,N
1805295,11a,Y
1805295,11b,N
1805295,12a,Y
1805295,12b,N
1805818,3a,N
1805818,3b,N
1805818,4a,N
1805818,4b,Y
1805818,5,Y
1805818,6a,Y
1805818,6b,N
1805818,7a,N
1805818,7b,N
1805818,8a,N
1805818,8b,N
1805818,9,N
1805818,10,N
1805818,11a,N
1805818,11b,N
1805818,12a,Y
1805818,12b,N
1807303,3a,N
1807303,3b,N
1807303,4a,Y
1807303,4b,Y
1807303,5,Y
1807303,6a,Y
1807303,6b,N
1807303,7a,N
1807303,7b,N
1807303,8a,N
1807303,8b,Y
1807303,9,N
1807303,10,N
1807303,11a,Y
1807303,11b,N
1807303,12a,Y
1807303,12b,N
1811040,3a,N
1811040,3b,N
1811040,4a,N
1811040,4b,N
1811040,5,Y
1811040,6a,Y
1811040,6b,N
1811040,7a,N
1811040,7b,N
1811040,8a,N
1811040,8b,N
1811040,9,N
1811040,10,N
1811040,11a,N
1811040,11b,N
1811040,12a,N
1811040,12b,N
1812444,3a,N
1812444,3b,N
1812444,4a,N
1812444,4b,N
1812444,5,Y
1812444,6a,Y
1812444,6b,N
1812444,7a,N
1812444,7b,N
1812444,8a,N
1812444,8b,N
1812444,9,Y
1812444,10,N
1812444,11a,N
1812444,11b,N
1812444,12a,Y
1812444,12b,N
1814768,3a,N
1814768,3b,N
1814768,4a,N
1814768,4b,N
1814768,5,Y
1814768,6a,Y
1814768,6b,N
1814768,7a,N
1814768,7b,N
1814768,8a,N
1814768,8b,N
1814768,9,N
1814768,10,N
1814768,11a,N
1814768,11b,N
1814768,12a,Y
1814768,12b,N
1814770,3a,N
1814770,3b,N
1814770,4a,N
1814770,4b,N
1814770,5,Y
1814770,6a,Y
1814770,6b,N
1814770,7a,N
1814770,7b,N
1814770,8a,N
1814770,8b,N
1814770,9,N
1814770,10,N
1814770,11a,N
1814770,11b,N
1814770,12a,N
1814770,12b,N
1815973,3a,N
1815973,3b,N
1815973,4a,N
1815973,4b,Y
1815973,5,Y
1815973,6a,Y
1815973,6b,N
1815973,7a,N
1815973,7b,N
1815973,8a,N
1815973,8b,N
1815973,9,N
1815973,10,N
1815973,11a,N
1815973,11b,N
1815973,12a,Y
1815973,12b,N
1817618,3a,N
1817618,3b,N
1817618,4a,N
1817618,4b,N
1817618,5,Y
1817618,6a,Y
1817618,6b,N
1817618,7a,N
1817618,7b,N
1817618,8a,N
1817618,8b,N
1817618,9,N
1817618,10,N
1817618,11a,Y
1817618,11b,N
1817618,12a,Y
1817618,12b,N
1817625,3a,N
1817625,3b,N
1817625,4a,Y
1817625,4b,N
1817625,5,Y
1817625,6a,Y
1817625,6b,N
1817625,7a,N
1817625,7b,N
1817625,8a,N
1817625,8b,N
1817625,9,N
1817625,10,N
1817625,11a,N
1817625,11b,N
1817625,12a,Y
1817625,12b,N
1817627,3a,N
1817627,3b,N
1817627,4a,Y
1817627,4b,N
1817627,5,Y
1817627,6a,Y
1817627,6b,N
1817627,7a,N
1817627,7b,N
1817627,8a,N
1817627,8b,Y
1817627,9,N
1817627,10,N
1817627,11a,N
1817627,11b,N
1817627,12a,Y
1817627,12b,N
1821296,3a,N
1821296,3b,N
1821296,4a,Y
1821296,4b,Y
1821296,5,Y
1821296,6a,Y
1821296,6b,N
1821296,7a,N
1821296,7b,N
1821296,8a,N
1821296,8b,N
1821296,9,N
1821296,10,N
1821296,11a,N
1821296,11b,N
1821296,12a,Y
1821296,12b,N
1822319,3a,Y
1822319,3b,N
1822319,4a,Y
1822319,4b,N
1822319,5,Y
1822319,6a,Y
1822319,6b,N
1822319,7a,N
1822319,7b,N
1822319,8a,N
1822319,8b,N
1822319,9,N
1822319,10,N
1822319,11a,Y
1822319,11b,N
1822319,12a,Y
1822319,12b,N
1822966,3a,N
1822966,3b,N
1822966,4a,Y
1822966,4b,N
1822966,5,Y
1822966,6a,Y
1822966,6b,N
1822966,7a,N
1822966,7b,N
1822966,8a,N
1822966,8b,N
1822966,9,N
1822966,10,N
1822966,11a,N
1822966,11b,N
1822966,12a,Y
1822966,12b,N
1824249,3a,N
1824249,3b,N
1824249,4a,Y
1824249,4b,N
1824249,5,Y
1824249,6a,Y
1824249,6b,N
1824249,7a,N
1824249,7b,N
1824249,8a,N
1824249,8b,Y
1824249,9,N
1824249,10,N
1824249,11a,N
1824249,11b,N
1824249,12a,Y
1824249,12b,N
1824585,3a,N
1824585,3b,N
1824585,4a,Y
1824585,4b,N
1824585,5,Y
1824585,6a,Y
1824585,6b,N
1824585,7a,N
1824585,7b,N
1824585,8a,N
1824585,8b,N
1824585,9,N
1824585,10,N
1824585,11a,N
1824585,11b,N
1824585,12a,Y
1824585,12b,N
1824651,3a,Y
1824651,3b,N
1824651,4a,Y
