PMID,CONSORT_item,is_reported
2200263,3a,Y
2200263,3b,N
2200263,4a,Y
2200263,4b,N
2200263,5,Y
2200263,6a,Y
2200263,6b,N
2200263,7a,N
2200263,7b,N
2200263,8a,N
2200263,8b,N
2200263,9,N
2200263,10,N
2200263,11a,N
2200263,11b,N
2200263,12a,N
2200263,12b,N
2200299,3a,Y
2200299,3b,N
2200299,4a,Y
2200299,4b,N
2200299,5,Y
2200299,6a,Y
2200299,6b,N
2200299,7a,N
2200299,7b,N
2200299,8a,N
2200299,8b,N
2200299,9,N
2200299,10,N
2200299,11a,N
2200299,11b,N
2200299,12a,Y
2200299,12b,N
2200300,3a,N
2200300,3b,N
2200300,4a,N
2200300,4b,N
2200300,5,Y
2200300,6a,Y
2200300,6b,N
2200300,7a,N
2200300,7b,N
2200300,8a,N
2200300,8b,N
2200300,9,N
2200300,10,N
2200300,11a,Y
2200300,11b,N
2200300,12a,N
2200300,12b,N
2200632,3a,N
2200632,3b,N
2200632,4a,Y
2200632,4b,N
2200632,5,Y
2200632,6a,Y
2200632,6b,N
2200632,7a,N
2200632,7b,N
2200632,8a,N
2200632,8b,N
2200632,9,N
2200632,10,N
2200632,11a,Y
2200632,11b,N
2200632,12a,N
2200632,12b,N
2200821,3a,Y
2200821,3b,N
2200821,4a,Y
2200821,4b,Y
2200821,5,Y
2200821,6a,Y
2200821,6b,N
2200821,7a,N
2200821,7b,N
2200821,8a,N
2200821,8b,Y
2200821,9,N
2200821,10,N
2200821,11a,N
2200821,11b,N
2200821,12a,Y
2200821,12b,N
2200826,3a,N
2200826,3b,N
2200826,4a,Y
2200826,4b,N
2200826,5,Y
2200826,6a,Y
2200826,6b,N
2200826,7a,N
2200826,7b,N
2200826,8a,N
2200826,8b,N
2200826,9,N
2200826,10,Y
2200826,11a,N
2200826,11b,N
2200826,12a,Y
2200826,12b,N
2200879,3a,N
2200879,3b,N
2200879,4a,Y
2200879,4b,N
2200879,5,Y
2200879,6a,Y
2200879,6b,N
2200879,7a,N
2200879,7b,N
2200879,8a,N
2200879,8b,N
2200879,9,N
2200879,10,N
2200879,11a,N
2200879,11b,N
2200879,12a,N
2200879,12b,N
2200924,3a,Y
2200924,3b,N
2200924,4a,Y
2200924,4b,N
2200924,5,Y
2200924,6a,Y
2200924,6b,N
2200924,7a,N
2200924,7b,N
2200924,8a,N
2200924,8b,N
2200924,9,N
2200924,10,N
2200924,11a,Y
2200924,11b,N
2200924,12a,Y
2200924,12b,N
2201224,3a,N
2201224,3b,N
2201224,4a,Y
2201224,4b,N
2201224,5,Y
2201224,6a,Y
2201224,6b,N
2201224,7a,N
2201224,7b,N
2201224,8a,N
2201224,8b,N
2201224,9,N
2201224,10,N
2201224,11a,N
2201224,11b,Y
2201224,12a,Y
2201224,12b,N
2201225,3a,N
2201225,3b,N
2201225,4a,Y
2201225,4b,N
2201225,5,Y
2201225,6a,Y
2201225,6b,N
2201225,7a,N
2201225,7b,N
2201225,8a,N
2201225,8b,N
2201225,9,N
2201225,10,N
2201225,11a,N
2201225,11b,N
2201225,12a,Y
2201225,12b,N
2201256,3a,N
2201256,3b,N
2201256,4a,Y
2201256,4b,N
2201256,5,Y
2201256,6a,Y
2201256,6b,N
2201256,7a,N
2201256,7b,N
2201256,8a,N
2201256,8b,N
2201256,9,N
2201256,10,N
2201256,11a,Y
2201256,11b,N
2201256,12a,Y
2201256,12b,N
2201541,3a,Y
2201541,3b,N
2201541,4a,Y
2201541,4b,N
2201541,5,Y
2201541,6a,Y
2201541,6b,N
2201541,7a,N
2201541,7b,N
2201541,8a,Y
2201541,8b,N
2201541,9,N
2201541,10,N
2201541,11a,N
2201541,11b,Y
2201541,12a,Y
2201541,12b,N
2201988,3a,N
2201988,3b,N
2201988,4a,Y
2201988,4b,N
2201988,5,Y
2201988,6a,Y
2201988,6b,N
2201988,7a,Y
2201988,7b,N
2201988,8a,Y
2201988,8b,N
2201988,9,N
2201988,10,N
2201988,11a,N
2201988,11b,N
2201988,12a,Y
2201988,12b,N
2202239,3a,Y
2202239,3b,N
2202239,4a,Y
2202239,4b,N
2202239,5,Y
2202239,6a,N
2202239,6b,N
2202239,7a,N
2202239,7b,N
2202239,8a,N
2202239,8b,N
2202239,9,N
2202239,10,N
2202239,11a,N
2202239,11b,N
2202239,12a,N
2202239,12b,N
2202240,3a,N
2202240,3b,N
2202240,4a,Y
2202240,4b,N
2202240,5,Y
2202240,6a,Y
2202240,6b,N
2202240,7a,N
2202240,7b,N
2202240,8a,N
2202240,8b,N
2202240,9,N
2202240,10,N
2202240,11a,Y
2202240,11b,N
2202240,12a,Y
2202240,12b,N
2202384,3a,Y
2202384,3b,N
2202384,4a,N
2202384,4b,Y
2202384,5,Y
2202384,6a,Y
2202384,6b,N
2202384,7a,N
2202384,7b,N
2202384,8a,N
2202384,8b,N
2202384,9,N
2202384,10,N
2202384,11a,N
2202384,11b,N
2202384,12a,Y
2202384,12b,N
2202385,3a,N
2202385,3b,N
2202385,4a,Y
2202385,4b,N
2202385,5,Y
2202385,6a,Y
2202385,6b,N
2202385,7a,N
2202385,7b,N
2202385,8a,N
2202385,8b,N
2202385,9,N
2202385,10,N
2202385,11a,N
2202385,11b,N
2202385,12a,Y
2202385,12b,N
2202538,3a,N
2202538,3b,N
2202538,4a,Y
2202538,4b,N
2202538,5,N
2202538,6a,Y
2202538,6b,N
2202538,7a,N
2202538,7b,N
2202538,8a,N
2202538,8b,N
2202538,9,N
2202538,10,N
2202538,11a,N
2202538,11b,N
2202538,12a,N
2202538,12b,N
2202789,3a,N
2202789,3b,N
2202789,4a,Y
2202789,4b,N
2202789,5,Y
2202789,6a,Y
2202789,6b,N
2202789,7a,Y
2202789,7b,N
2202789,8a,N
2202789,8b,Y
2202789,9,N
2202789,10,N
2202789,11a,N
2202789,11b,N
2202789,12a,Y
2202789,12b,Y
2202790,3a,N
2202790,3b,N
2202790,4a,N
2202790,4b,Y
2202790,5,N
2202790,6a,Y
2202790,6b,N
2202790,7a,Y
2202790,7b,N
2202790,8a,N
2202790,8b,N
2202790,9,N
2202790,10,N
2202790,11a,N
2202790,11b,N
2202790,12a,Y
2202790,12b,N
2202792,3a,N
2202792,3b,N
2202792,4a,Y
2202792,4b,N
2202792,5,Y
2202792,6a,Y
2202792,6b,N
2202792,7a,Y
2202792,7b,N
2202792,8a,N
2202792,8b,Y
2202792,9,N
2202792,10,N
2202792,11a,N
2202792,11b,N
2202792,12a,Y
2202792,12b,N
2202804,3a,N
2202804,3b,N
2202804,4a,Y
2202804,4b,Y
2202804,5,Y
2202804,6a,Y
2202804,6b,N
2202804,7a,Y
2202804,7b,N
2202804,8a,N
2202804,8b,N
2202804,9,N
2202804,10,N
2202804,11a,N
2202804,11b,Y
2202804,12a,N
2202804,12b,N
2203181,3a,N
2203181,3b,N
2203181,4a,N
2203181,4b,N
2203181,5,Y
2203181,6a,Y
2203181,6b,N
2203181,7a,N
2203181,7b,N
2203181,8a,N
2203181,8b,Y
2203181,9,N
2203181,10,N
2203181,11a,N
2203181,11b,N
2203181,12a,Y
2203181,12b,N
2203243,3a,Y
2203243,3b,N
2203243,4a,N
2203243,4b,Y
2203243,5,Y
2203243,6a,Y
2203243,6b,N
2203243,7a,N
2203243,7b,N
2203243,8a,N
2203243,8b,N
2203243,9,N
2203243,10,N
2203243,11a,N
2203243,11b,N
2203243,12a,Y
2203243,12b,N
2203300,3a,Y
2203300,3b,N
2203300,4a,N
2203300,4b,N
2203300,5,Y
2203300,6a,Y
2203300,6b,N
2203300,7a,N
2203300,7b,N
2203300,8a,N
2203300,8b,N
2203300,9,N
2203300,10,N
2203300,11a,N
2203300,11b,N
2203300,12a,Y
2203300,12b,N
2203481,3a,N
2203481,3b,Y
2203481,4a,N
2203481,4b,N
2203481,5,Y
2203481,6a,Y
2203481,6b,N
2203481,7a,Y
2203481,7b,N
2203481,8a,N
2203481,8b,Y
2203481,9,N
2203481,10,N
2203481,11a,N
2203481,11b,N
2203481,12a,Y
2203481,12b,N
2203692,3a,N
2203692,3b,N
2203692,4a,Y
2203692,4b,N
2203692,5,Y
2203692,6a,Y
2203692,6b,N
2203692,7a,N
2203692,7b,N
2203692,8a,N
2203692,8b,N
2203692,9,N
2203692,10,N
2203692,11a,Y
2203692,11b,N
2203692,12a,Y
2203692,12b,N
2204548,3a,N
2204548,3b,N
2204548,4a,Y
2204548,4b,N
2204548,5,Y
2204548,6a,Y
2204548,6b,N
2204548,7a,N
2204548,7b,N
2204548,8a,N
2204548,8b,N
2204548,9,N
2204548,10,N
2204548,11a,N
2204548,11b,N
2204548,12a,Y
2204548,12b,N
2205121,3a,N
2205121,3b,N
2205121,4a,Y
2205121,4b,N
2205121,5,Y
2205121,6a,N
2205121,6b,N
2205121,7a,N
2205121,7b,N
2205121,8a,N
2205121,8b,N
2205121,9,N
2205121,10,N
2205121,11a,N
2205121,11b,Y
2205121,12a,N
2205121,12b,N
2205128,3a,N
2205128,3b,N
2205128,4a,N
2205128,4b,N
2205128,5,Y
2205128,6a,Y
2205128,6b,N
2205128,7a,N
2205128,7b,N
2205128,8a,Y
2205128,8b,N
2205128,9,N
2205128,10,N
2205128,11a,N
2205128,11b,N
2205128,12a,Y
2205128,12b,N
2205129,3a,N
2205129,3b,N
2205129,4a,Y
2205129,4b,N
2205129,5,Y
2205129,6a,Y
2205129,6b,N
2205129,7a,N
2205129,7b,N
2205129,8a,N
2205129,8b,N
2205129,9,N
2205129,10,N
2205129,11a,N
2205129,11b,N
2205129,12a,Y
2205129,12b,N
2205572,3a,N
2205572,3b,N
2205572,4a,Y
2205572,4b,N
2205572,5,Y
2205572,6a,Y
2205572,6b,N
2205572,7a,N
2205572,7b,N
2205572,8a,N
2205572,8b,N
2205572,9,N
2205572,10,N
2205572,11a,N
2205572,11b,N
2205572,12a,Y
2205572,12b,N
2206032,3a,Y
2206032,3b,N
2206032,4a,Y
2206032,4b,N
2206032,5,Y
2206032,6a,Y
2206032,6b,N
2206032,7a,N
2206032,7b,N
2206032,8a,N
2206032,8b,N
