PMID,CONSORT_item,is_reported
2618792,5,N
2618792,6a,Y
2618792,6b,N
2618792,7a,N
2618792,7b,N
2618792,8a,N
2618792,8b,N
2618792,9,N
2618792,10,N
2618792,11a,N
2618792,11b,N
2618792,12a,Y
2618792,12b,N
2618843,3a,N
2618843,3b,N
2618843,4a,N
2618843,4b,Y
2618843,5,Y
2618843,6a,Y
2618843,6b,N
2618843,7a,N
2618843,7b,N
2618843,8a,N
2618843,8b,N
2618843,9,N
2618843,10,N
2618843,11a,N
2618843,11b,N
2618843,12a,N
2618843,12b,N
2620532,3a,N
2620532,3b,N
2620532,4a,N
2620532,4b,N
2620532,5,Y
2620532,6a,Y
2620532,6b,N
2620532,7a,N
2620532,7b,N
2620532,8a,N
2620532,8b,N
2620532,9,N
2620532,10,N
2620532,11a,N
2620532,11b,N
2620532,12a,Y
2620532,12b,N
2622725,3a,Y
2622725,3b,N
2622725,4a,N
2622725,4b,N
2622725,5,Y
2622725,6a,Y
2622725,6b,N
2622725,7a,N
2622725,7b,N
2622725,8a,Y
2622725,8b,N
2622725,9,N
2622725,10,N
2622725,11a,N
2622725,11b,N
2622725,12a,N
2622725,12b,N
2623126,3a,N
2623126,3b,N
2623126,4a,N
2623126,4b,N
2623126,5,Y
2623126,6a,Y
2623126,6b,N
2623126,7a,N
2623126,7b,N
2623126,8a,N
2623126,8b,N
2623126,9,N
2623126,10,N
2623126,11a,N
2623126,11b,N
2623126,12a,N
2623126,12b,N
2623218,3a,N
2623218,3b,N
2623218,4a,Y
2623218,4b,N
2623218,5,N
2623218,6a,Y
2623218,6b,N
2623218,7a,N
2623218,7b,N
2623218,8a,N
2623218,8b,N
2623218,9,N
2623218,10,N
2623218,11a,N
2623218,11b,N
2623218,12a,N
2623218,12b,N
2628331,3a,N
2628331,3b,N
2628331,4a,Y
2628331,4b,N
2628331,5,Y
2628331,6a,Y
2628331,6b,N
2628331,7a,N
2628331,7b,N
2628331,8a,N
2628331,8b,N
2628331,9,Y
2628331,10,Y
2628331,11a,N
2628331,11b,N
2628331,12a,N
2628331,12b,N
2630348,3a,N
2630348,3b,N
2630348,4a,Y
2630348,4b,N
2630348,5,N
2630348,6a,N
2630348,6b,N
2630348,7a,N
2630348,7b,N
2630348,8a,N
2630348,8b,N
2630348,9,N
2630348,10,N
2630348,11a,N
2630348,11b,N
2630348,12a,N
2630348,12b,N
2637335,3a,N
2637335,3b,N
2637335,4a,N
2637335,4b,N
2637335,5,Y
2637335,6a,Y
2637335,6b,N
2637335,7a,N
2637335,7b,N
2637335,8a,N
2637335,8b,N
2637335,9,N
2637335,10,N
2637335,11a,N
2637335,11b,N
2637335,12a,Y
2637335,12b,N
2642435,3a,N
2642435,3b,N
2642435,4a,Y
2642435,4b,N
2642435,5,Y
2642435,6a,Y
2642435,6b,N
2642435,7a,N
2642435,7b,N
2642435,8a,N
2642435,8b,N
2642435,9,N
2642435,10,N
2642435,11a,N
2642435,11b,N
2642435,12a,Y
2642435,12b,N
2642453,3a,N
2642453,3b,N
2642453,4a,Y
2642453,4b,N
2642453,5,Y
2642453,6a,Y
2642453,6b,N
2642453,7a,N
2642453,7b,N
2642453,8a,N
2642453,8b,N
2642453,9,N
